Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,Year
Redskins,411,191,46.5,6,2127,11,29,45.1,0,0,0,0,0,36,1971
49ers,341,152,44.6,6.8,2011,17,14,67,0,0,0,0,0,38,1971
Chargers,347,193,55.6,7,2262,15,22,65.7,0,0,0,0,0,19,1971
Steelers,408,235,57.6,7.5,2766,16,17,77,0,0,0,0,0,33,1971
Cardinals,375,212,56.5,6.8,2380,12,17,69.3,0,0,0,0,0,20,1971
Eagles,407,220,54.1,7.3,2660,16,22,68.1,0,0,0,0,0,32,1971
Jets,342,163,47.7,6.7,2055,17,13,70.4,0,0,0,0,0,27,1971
Giants,333,173,52,7.4,2307,25,15,82.4,0,0,0,0,0,18,1971
Saints,333,175,52.6,7.4,2238,20,20,71.8,0,0,0,0,0,24,1971
Patriots,350,170,48.6,6.9,2154,16,15,68.5,0,0,0,0,0,25,1971
Vikings,405,206,50.9,5,1806,10,27,45.7,0,0,0,0,0,27,1971
Dolphins,363,206,56.7,6.3,2000,10,17,65.4,0,0,0,0,0,34,1971
Raiders,359,184,51.3,7.3,2386,15,23,62.3,0,0,0,0,0,32,1971
Rams,387,200,51.7,7,2379,15,27,58,0,0,0,0,0,37,1971
Chiefs,418,209,50,6.5,2468,11,27,52.6,0,0,0,0,0,28,1971
Colts,361,185,51.2,5.6,1739,9,28,44.2,0,0,0,0,0,33,1971
Oilers,354,180,50.8,6.8,2072,11,23,56.2,0,0,0,0,0,37,1971
Packers,353,186,52.7,7,2301,21,16,76.1,0,0,0,0,0,19,1971
Lions,306,163,53.3,7.1,2017,17,22,64.5,0,0,0,0,0,18,1971
Broncos,356,150,42.1,6.8,1985,18,20,59,0,0,0,0,0,44,1971
Cowboys,421,209,49.6,6.3,2324,15,26,55.9,0,0,0,0,0,43,1971
Browns,339,156,46,6.4,1967,12,24,49.4,0,0,0,0,0,25,1971
Bengals,335,157,46.9,7.1,2128,19,27,56.1,0,0,0,0,0,30,1971
Bears,362,192,53,7.2,2404,12,22,62,0,0,0,0,0,28,1971
Bills,303,157,51.8,7.7,2108,20,11,84.2,0,0,0,0,0,30,1971
Falcons,343,164,47.8,5.5,1638,9,20,49.4,0,0,0,0,0,31,1971
Redskins,367,186,50.7,5.8,1862,10,17,58.3,0,0,0,0,0,35,1972
49ers,366,169,46.2,7.1,2179,14,19,61.1,0,0,0,0,0,46,1972
Chargers,358,201,56.1,6.8,2208,18,24,66.1,0,0,0,0,0,26,1972
Steelers,411,206,50.1,5.8,2056,9,28,47,0,0,0,0,0,40,1972
Cardinals,365,221,60.5,7.5,2550,15,11,84.9,0,0,0,0,0,22,1972
Eagles,318,175,55,8.2,2472,20,19,78.3,0,0,0,0,0,17,1972
Jets,363,186,51.2,8,2637,18,19,72.7,0,0,0,0,0,27,1972
Giants,333,182,54.7,7.7,2339,19,23,70,0,0,0,0,0,37,1972
Saints,367,213,58,7.1,2402,21,14,83.1,0,0,0,0,0,24,1972
Patriots,326,175,53.7,8.1,2533,24,10,92.2,0,0,0,0,0,15,1972
Vikings,331,169,51.1,5.4,1699,13,26,47.5,0,0,0,0,0,21,1972
Dolphins,348,178,51.1,5.8,1749,10,26,47.4,0,0,0,0,0,33,1972
Raiders,348,166,47.7,6.8,2152,14,25,53.6,0,0,0,0,0,27,1972
Rams,363,181,49.9,6.8,2145,20,16,72,0,0,0,0,0,42,1972
Chiefs,368,186,50.5,6.7,2222,17,24,60.5,0,0,0,0,0,32,1972
Colts,313,178,56.9,8.2,2323,15,23,68.8,0,0,0,0,0,25,1972
Oilers,324,174,53.7,7.1,2143,12,6,81.2,0,0,0,0,0,24,1972
Packers,340,174,51.2,6.5,1957,7,17,57.8,0,0,0,0,0,29,1972
Lions,312,171,54.8,6.9,2004,18,12,79.6,0,0,0,0,0,21,1972
Broncos,397,206,51.9,6.4,2183,19,10,77.4,0,0,0,0,0,41,1972
Cowboys,382,187,49,6.6,2240,18,16,68.5,0,0,0,0,0,32,1972
Browns,310,160,51.6,6.4,1736,14,13,69.5,0,0,0,0,0,38,1972
Bengals,350,167,47.7,5.8,1737,11,20,52.7,0,0,0,0,0,38,1972
Bears,342,180,52.6,6.9,2172,16,21,64.5,0,0,0,0,0,23,1972
Bills,308,131,42.5,7,1951,19,23,56,0,0,0,0,0,22,1972
Falcons,301,137,45.5,6.3,1704,13,18,55.9,0,0,0,0,0,24,1972
Redskins,406,203,50,6.2,2176,12,26,52.9,0,0,0,0,0,53,1973
49ers,383,194,50.7,6.8,2366,19,17,70.5,0,0,0,0,0,32,1973
Chargers,341,177,51.9,7.3,2254,18,16,73.6,0,0,0,0,0,26,1973
Steelers,359,164,45.7,5.4,1672,11,37,33.1,0,0,0,0,0,33,1973
Cardinals,417,252,60.4,7.7,3029,23,10,93.1,0,0,0,0,0,29,1973
Eagles,370,219,59.2,7.5,2639,22,15,85.7,0,0,0,0,0,21,1973
Jets,296,150,50.7,7.3,1950,18,19,68.1,0,0,0,0,0,26,1973
Giants,275,161,58.5,8.2,1985,17,20,75.3,0,0,0,0,0,35,1973
Saints,337,176,52.2,6.9,2178,15,16,69.5,0,0,0,0,0,24,1973
Patriots,240,134,55.8,6.7,1338,11,13,69.1,0,0,0,0,0,32,1973
Vikings,377,198,52.5,5.6,1894,8,21,53.2,0,0,0,0,0,30,1973
Dolphins,322,151,46.9,5,1290,5,21,39.9,0,0,0,0,0,45,1973
Raiders,370,170,45.9,5.4,1690,12,17,54.5,0,0,0,0,0,40,1973
Rams,328,179,54.6,6.2,1681,10,20,58,0,0,0,0,0,45,1973
Chiefs,324,157,48.5,6,1619,11,21,51.7,0,0,0,0,0,38,1973
Colts,331,199,60.1,7.9,2399,16,15,82.1,0,0,0,0,0,25,1973
Oilers,326,178,54.6,7.6,2237,26,17,84,0,0,0,0,0,27,1973
Packers,327,180,55,6.3,1822,14,15,69.2,0,0,0,0,0,25,1973
Lions,332,173,52.1,6.2,1788,15,22,58.8,0,0,0,0,0,33,1973
Broncos,387,202,52.2,7.1,2440,15,14,73.2,0,0,0,0,0,36,1973
Cowboys,352,187,53.1,6.5,1995,15,18,66.5,0,0,0,0,0,40,1973
Browns,312,144,46.2,6.4,1736,16,12,68.1,0,0,0,0,0,29,1973
Bengals,338,182,53.8,6.6,1898,9,18,61.3,0,0,0,0,0,43,1973
Bears,303,156,51.5,6.5,1674,17,14,71.6,0,0,0,0,0,32,1973
Bills,368,166,45.1,6.5,2118,12,14,61.8,0,0,0,0,0,32,1973
Falcons,324,151,46.6,5,1430,11,22,44.8,0,0,0,0,0,29,1973
Redskins,399,197,49.4,5.3,1846,13,25,49.9,0,0,0,0,0,31,1974
49ers,339,178,52.5,6.4,1931,14,20,61.8,0,0,0,0,0,28,1974
Chargers,367,222,60.5,7.7,2670,13,15,79.2,0,0,0,0,0,18,1974
Steelers,339,147,43.4,5.5,1466,14,25,44.3,0,0,0,0,0,52,1974
Cardinals,413,230,55.7,6.2,2363,11,16,67.3,0,0,0,0,0,35,1974
Eagles,434,230,53,6.2,2473,9,18,61.6,0,0,0,0,0,28,1974
Jets,347,186,53.6,6.5,2057,14,17,66.8,0,0,0,0,0,25,1974
Giants,415,245,59,6.5,2541,22,15,80.9,0,0,0,0,0,25,1974
Saints,369,193,52.3,6.3,2039,17,16,69.3,0,0,0,0,0,37,1974
Patriots,374,210,56.1,7.4,2480,17,24,68.2,0,0,0,0,0,38,1974
Vikings,396,214,54,6.5,2302,8,22,57.7,0,0,0,0,0,31,1974
Dolphins,372,200,53.8,6.6,2182,14,16,69,0,0,0,0,0,31,1974
Raiders,367,175,47.7,6.6,2111,12,27,49.6,0,0,0,0,0,36,1974
Rams,381,194,50.9,6.5,2102,16,22,61.4,0,0,0,0,0,44,1974
Chiefs,408,206,50.5,7,2663,22,28,62.5,0,0,0,0,0,26,1974
Colts,312,180,57.7,7.5,2165,16,10,85.3,0,0,0,0,0,21,1974
Oilers,405,231,57,6.7,2375,19,21,71.7,0,0,0,0,0,40,1974
Packers,383,188,49.1,5.9,2000,10,23,51.2,0,0,0,0,0,28,1974
Lions,405,219,54.1,6,2236,13,17,65.3,0,0,0,0,0,24,1974
Broncos,426,237,55.6,6.6,2583,14,22,65.3,0,0,0,0,0,32,1974
Cowboys,349,178,51,7,2119,17,13,74.6,0,0,0,0,0,37,1974
Browns,308,139,45.1,7.3,2025,22,24,61.6,0,0,0,0,0,28,1974
Bengals,359,186,51.8,5.9,1790,13,9,71.4,0,0,0,0,0,36,1974
Bears,329,174,52.9,6.8,2079,12,18,64,0,0,0,0,0,25,1974
Bills,311,146,46.9,6.1,1611,11,20,51.6,0,0,0,0,0,32,1974
Falcons,302,136,45,6.1,1572,13,17,56,0,0,0,0,0,31,1974
Redskins,389,217,55.8,7,2436,17,18,72.9,0,0,0,0,68,36,1975
49ers,411,228,55.5,6.1,2197,15,11,74.9,0,0,0,0,65T,40,1975
Chargers,390,237,60.8,7,2510,16,20,74.1,0,0,0,0,60T,26,1975
Steelers,396,183,46.2,5.5,1836,9,27,42.8,0,0,0,0,59T,43,1975
Cardinals,446,233,52.2,6.4,2670,16,22,63.8,0,0,0,0,48T,24,1975
Eagles,424,226,53.3,6.3,2538,13,26,57.3,0,0,0,0,66T,17,1975
Jets,316,180,57,9.1,2719,26,15,94.9,0,0,0,0,90T,19,1975
Giants,365,196,53.7,7,2367,20,16,75.8,0,0,0,0,96T,26,1975
Saints,354,206,58.2,7.3,2387,25,16,85.7,0,0,0,0,60T,28,1975
Patriots,368,213,57.9,6.8,2244,18,13,80.4,0,0,0,0,77T,33,1975
Vikings,360,175,48.6,5.5,1621,14,28,46.2,0,0,0,0,64T,46,1975
Dolphins,375,200,53.3,6.2,2021,9,21,57.1,0,0,0,0,62T,40,1975
Raiders,398,171,43,5.8,1844,14,35,37.2,0,0,0,0,68T,55,1975
Rams,387,187,48.3,5.5,1789,11,22,51,0,0,0,0,68T,43,1975
Chiefs,325,186,57.2,8.3,2512,18,20,77.3,0,0,0,0,90T,28,1975
Colts,393,193,49.1,7.2,2352,17,29,56.9,0,0,0,0,91,59,1975
Oilers,409,235,57.5,6.8,2457,14,24,65.4,0,0,0,0,64,45,1975
Packers,369,192,52,6.7,2172,13,14,69.3,0,0,0,0,58T,32,1975
Lions,360,181,50.3,6.6,2071,16,20,63.2,0,0,0,0,56T,38,1975
Broncos,348,181,52,6.5,2032,14,16,66.6,0,0,0,0,69T,27,1975
Cowboys,373,162,43.4,6.2,2040,19,25,53.3,0,0,0,0,80T,41,1975
Browns,361,202,56,8,2591,25,10,93.6,0,0,0,0,75T,34,1975
Bengals,389,175,45,5.1,1729,11,22,46.9,0,0,0,0,48,27,1975
Bears,399,208,52.1,7.1,2506,22,13,79.8,0,0,0,0,79T,35,1975
Bills,431,237,55,7.8,3080,25,25,75.5,0,0,0,0,89T,30,1975
Falcons,437,227,51.9,6.4,2535,16,25,60.5,0,0,0,0,71T,35,1975
Redskins,354,146,41.2,6.3,1917,11,26,42.6,0,0,0,0,85T,44,1976
Buccaneers,321,178,55.5,7.5,2241,19,9,87.6,0,0,0,0,71T,24,1976
Seahawks,367,223,60.8,7.5,2524,27,15,91.7,0,0,0,0,66T,27,1976
49ers,374,180,48.1,6.3,1776,13,9,69.9,0,0,0,0,77T,61,1976
Chargers,386,219,56.7,7.3,2628,21,20,76.4,0,0,0,0,74T,23,1976
Steelers,373,158,42.4,5.8,1866,9,22,45.2,0,0,0,0,69T,41,1976
Cardinals,342,176,51.5,6.9,2110,13,19,63.2,0,0,0,0,72T,31,1976
Eagles,404,237,58.7,6.7,2550,17,9,83.4,0,0,0,0,69T,19,1976
Jets,374,204,54.5,6.6,2324,25,11,85.1,0,0,0,0,85T,16,1976
Giants,330,189,57.3,6.8,1988,11,12,73.9,0,0,0,0,53T,31,1976
Saints,367,200,54.5,6.9,2202,18,12,78.8,0,0,0,0,55T,39,1976
Patriots,437,229,52.4,6,2175,16,23,60.9,0,0,0,0,55,47,1976
Vikings,323,158,48.9,5.9,1575,8,19,51.1,0,0,0,0,80T,45,1976
Dolphins,347,195,56.2,8.3,2670,20,11,89.3,0,0,0,0,64,20,1976
Raiders,389,197,50.6,7.3,2476,13,16,68.8,0,0,0,0,57T,46,1976
Rams,397,199,50.1,6.3,2092,11,32,45.6,0,0,0,0,57,45,1976
Chiefs,375,215,57.3,7.2,2496,25,23,76.4,0,0,0,0,57,22,1976
Colts,372,192,51.6,7.5,2343,16,15,74,0,0,0,0,67T,56,1976
Oilers,345,173,50.1,6.5,1915,17,11,74.3,0,0,0,0,81T,50,1976
Packers,354,196,55.4,6.2,1835,13,11,73.3,0,0,0,0,88T,43,1976
Lions,313,137,43.8,6.1,1686,11,24,43.7,0,0,0,0,69T,28,1976
Broncos,391,214,54.7,5.8,2025,8,24,53.1,0,0,0,0,58,32,1976
Cowboys,391,187,47.8,5.7,1909,12,16,58.9,0,0,0,0,54T,44,1976
Browns,392,225,57.4,6,2032,18,21,67.9,0,0,0,0,69T,32,1976
Bengals,364,177,48.6,6,1758,13,26,50,0,0,0,0,68T,46,1976
Bears,401,200,49.9,6.5,2217,15,24,58.3,0,0,0,0,75T,49,1976
Bills,337,163,48.4,7.3,2265,18,19,67.3,0,0,0,0,53T,28,1976
Falcons,340,184,54.1,6.7,2001,14,18,66.7,0,0,0,0,80T,35,1976
