Team,FF,FR,FR TD,Rec FUM,Rush FUM,Year,INT,INT TD,INT Yds,Lng
Lions,0,0,0,0,0,1975,20,1,315,67T
Broncos,0,0,0,0,0,1975,16,1,293,49
Cowboys,0,0,0,0,0,1975,25,3,346,38
Browns,0,0,0,0,0,1975,10,1,107,56T
Bengals,0,0,0,0,0,1975,22,2,410,52T
Bears,0,0,0,0,0,1975,13,2,241,76T
Bills,0,0,0,0,0,1975,25,2,376,58
Falcons,0,0,0,0,0,1975,25,2,342,87T
Redskins,0,0,0,0,0,1976,26,0,190,32
Buccaneers,0,0,0,0,0,1976,9,0,99,26
Seahawks,0,0,0,0,0,1976,15,1,218,40T
49ers,0,0,0,0,0,1976,9,0,93,30
Chargers,0,0,0,0,0,1976,20,1,299,37T
Steelers,0,0,0,0,0,1976,22,0,262,55
Cardinals,0,0,0,0,0,1976,19,1,243,38
Eagles,0,0,0,0,0,1976,9,0,195,52
Jets,0,0,0,0,0,1976,11,0,146,31
Giants,0,0,0,0,0,1976,12,0,62,11
Saints,0,0,0,0,0,1976,12,3,212,83T
Patriots,0,0,0,0,0,1976,23,3,505,68T
Vikings,0,0,0,0,0,1976,19,0,213,41
Dolphins,0,0,0,0,0,1976,11,0,144,40
Raiders,0,0,0,0,0,1976,16,0,128,23
Rams,0,0,0,0,0,1976,32,3,376,46T
Chiefs,0,0,0,0,0,1976,23,0,161,29
Colts,0,0,0,0,0,1976,15,0,211,41
Oilers,0,0,0,0,0,1976,11,0,176,50
Packers,0,0,0,0,0,1976,11,2,197,67
Lions,0,0,0,0,0,1976,24,3,445,76
Broncos,0,0,0,0,0,1976,24,4,452,65
Cowboys,0,0,0,0,0,1976,16,0,133,29
Browns,0,0,0,0,0,1976,21,1,234,39
Bengals,0,0,0,0,0,1976,26,3,330,53T
Bears,0,0,0,0,0,1976,24,2,215,37T
Bills,0,0,0,0,0,1976,19,1,293,101T
Falcons,0,0,0,0,0,1976,18,0,207,42
Redskins,0,0,0,0,0,1977,21,0,188,31
Buccaneers,0,0,0,0,0,1977,23,3,368,45T
Seahawks,0,0,0,0,0,1977,25,1,356,57
49ers,0,0,0,0,0,1977,8,0,133,50
Chargers,0,0,0,0,0,1977,21,2,317,37
Steelers,0,0,0,0,0,1977,31,0,374,51
Cardinals,0,0,0,0,0,1977,19,1,267,79T
Eagles,0,0,0,0,0,1977,21,0,300,45
Jets,0,0,0,0,0,1977,11,1,153,45
Giants,0,0,0,0,0,1977,12,2,179,54T
Saints,0,0,0,0,0,1977,10,1,83,57T
Patriots,0,0,0,0,0,1977,19,0,194,48
Vikings,0,0,0,0,0,1977,16,0,109,41
Dolphins,0,0,0,0,0,1977,15,0,124,27
Raiders,0,0,0,0,0,1977,26,0,352,41
Rams,0,0,0,0,0,1977,25,1,472,42
Chiefs,0,0,0,0,0,1977,21,2,348,102T
Colts,0,0,0,0,0,1977,30,0,434,37
Oilers,0,0,0,0,0,1977,26,1,429,95T
Packers,0,0,0,0,0,1977,13,1,89,29T
Lions,0,0,0,0,0,1977,19,1,319,48T
Broncos,0,0,0,0,0,1977,25,2,491,73T
Cowboys,0,0,0,0,0,1977,21,1,229,79T
Browns,0,0,0,0,0,1977,23,3,430,53T
Bengals,0,0,0,0,0,1977,16,2,238,54T
Bears,0,0,0,0,0,1977,18,0,138,29
Bills,0,0,0,0,0,1977,21,1,329,47
Falcons,0,0,0,0,0,1977,26,2,462,72T
Redskins,0,0,0,0,0,1978,22,0,189,39
Buccaneers,0,0,0,0,0,1978,29,0,312,31
Seahawks,0,0,0,0,0,1978,22,1,193,44
49ers,0,0,0,0,0,1978,18,1,283,32
Chargers,0,0,0,0,0,1978,22,2,191,52T
Steelers,0,0,0,0,0,1978,27,0,289,65
Cardinals,0,0,0,0,0,1978,26,0,249,33
Eagles,0,0,0,0,0,1978,28,2,271,50
Jets,0,0,0,0,0,1978,23,1,389,53
Giants,0,0,0,0,0,1978,21,1,438,52
Saints,0,0,0,0,0,1978,21,1,319,97T
Patriots,0,0,0,0,0,1978,22,1,358,50
Vikings,0,0,0,0,0,1978,22,0,192,30
Dolphins,0,0,0,0,0,1978,32,2,458,53T
Raiders,0,0,0,0,0,1978,28,1,407,52
Rams,0,0,0,0,0,1978,28,5,427,44T
Chiefs,0,0,0,0,0,1978,21,0,274,61
Colts,0,0,0,0,0,1978,17,2,249,79T
Oilers,0,0,0,0,0,1978,17,0,199,38
Packers,0,0,0,0,0,1978,27,2,344,77T
Lions,0,0,0,0,0,1978,22,1,292,76T
Broncos,0,0,0,0,0,1978,31,1,307,38
Cowboys,0,0,0,0,0,1978,23,0,316,56
Browns,0,0,0,0,0,1978,27,1,353,46
Bengals,0,0,0,0,0,1978,20,3,319,64
Bears,0,0,0,0,0,1978,17,1,216,60T
Bills,0,0,0,0,0,1978,14,1,290,85T
Falcons,0,0,0,0,0,1978,12,0,159,44
Redskins,0,0,0,0,0,1979,26,1,250,31T
Buccaneers,0,0,0,0,0,1979,14,1,238,72
Seahawks,0,0,0,0,0,1979,17,1,284,91T
49ers,0,0,0,0,0,1979,15,0,171,54
Chargers,0,0,0,0,0,1979,28,2,562,77T
Steelers,0,0,0,0,0,1979,27,1,200,51
Cardinals,0,0,0,0,0,1979,18,1,288,78
Eagles,0,0,0,0,0,1979,22,0,266,50
Jets,0,0,0,0,0,1979,21,2,239,58T
Giants,0,0,0,0,0,1979,21,1,165,31T
Saints,0,0,0,0,0,1979,26,2,351,53
Patriots,0,0,0,0,0,1979,20,1,352,35T
Vikings,0,0,0,0,0,1979,22,0,351,52
Dolphins,0,0,0,0,0,1979,23,0,285,56
Raiders,0,0,0,0,0,1979,24,3,313,52T
Rams,0,0,0,0,0,1979,25,2,355,36
Chiefs,0,0,0,0,0,1979,23,1,437,70T
Colts,0,0,0,0,0,1979,23,1,382,68
Oilers,0,0,0,0,0,1979,34,1,618,66
Packers,0,0,0,0,0,1979,18,0,243,46
Lions,0,0,0,0,0,1979,14,1,73,36T
Broncos,0,0,0,0,0,1979,19,0,189,34
Cowboys,0,0,0,0,0,1979,13,0,193,68
Browns,0,0,0,0,0,1979,16,1,278,39T
Bengals,0,0,0,0,0,1979,20,1,260,96T
Bears,0,0,0,0,0,1979,29,2,402,66T
Bills,0,0,0,0,0,1979,24,2,370,50T
Falcons,0,0,0,0,0,1979,15,2,224,39T
Redskins,0,0,0,0,0,1980,33,1,319,51T
Buccaneers,0,0,0,0,0,1980,15,1,179,55T
Seahawks,0,0,0,0,0,1980,23,0,95,24
49ers,0,0,0,0,0,1980,17,0,186,44
Chargers,0,0,0,0,0,1980,20,2,270,68T
Steelers,0,0,0,0,0,1980,26,0,260,67
Cardinals,0,0,0,0,0,1980,20,1,327,70T
Eagles,0,0,0,0,0,1980,25,0,170,41
Jets,0,0,0,0,0,1980,23,2,293,82T
Giants,0,0,0,0,0,1980,18,0,113,28
Saints,0,0,0,0,0,1980,12,0,196,48
Patriots,0,0,0,0,0,1980,24,1,288,42T
Vikings,0,0,0,0,0,1980,24,2,296,67T
Dolphins,0,0,0,0,0,1980,28,0,198,44
Raiders,0,0,0,0,0,1980,35,2,501,62
Rams,0,0,0,0,0,1980,25,4,546,99T
Chiefs,0,0,0,0,0,1980,28,2,364,47T
Colts,0,0,0,0,0,1980,17,1,310,60
Oilers,0,0,0,0,0,1980,26,0,313,42
Packers,0,0,0,0,0,1980,13,0,92,21
Lions,0,0,0,0,0,1980,23,1,168,29T
Broncos,0,0,0,0,0,1980,16,2,343,93T
Cowboys,0,0,0,0,0,1980,27,3,523,78T
Browns,0,0,0,0,0,1980,22,0,266,53
Bengals,0,0,0,0,0,1980,20,2,255,52T
Bears,0,0,0,0,0,1980,17,1,162,36T
Bills,0,0,0,0,0,1980,24,2,334,50T
Falcons,0,0,0,0,0,1980,26,0,313,52
Redskins,0,0,0,0,0,1981,24,2,249,52T
Buccaneers,0,0,0,0,0,1981,32,4,648,82T
Seahawks,0,0,0,0,0,1981,21,3,397,82T
49ers,0,0,0,0,0,1981,27,4,448,72
Chargers,0,0,0,0,0,1981,23,1,224,39
Steelers,0,0,0,0,0,1981,30,1,376,50T
Cardinals,0,0,0,0,0,1981,21,1,281,47
Eagles,0,0,0,0,0,1981,26,0,266,35
Jets,0,0,0,0,0,1981,21,2,432,67
