Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys,Year
Packers,0,0,0,0,0,0,0,0,981,1975
Lions,0,0,0,0,0,0,0,0,878,1975
Broncos,0,0,0,0,0,0,0,0,901,1975
Cowboys,0,0,0,0,0,0,0,0,888,1975
Browns,0,0,0,0,0,0,0,0,939,1975
Bengals,0,0,0,0,0,0,0,0,889,1975
Bears,0,0,0,0,0,0,0,0,981,1975
Bills,0,0,0,0,0,0,0,0,941,1975
Falcons,0,0,0,0,0,0,0,0,1043,1975
Redskins,0,0,0,0,0,0,0,0,953,1976
Buccaneers,0,0,0,0,0,0,0,0,933,1976
Seahawks,0,0,0,0,0,0,0,0,1008,1976
49ers,0,0,0,0,0,0,0,0,922,1976
Chargers,0,0,0,0,0,0,0,0,925,1976
Steelers,0,0,0,0,0,0,0,0,866,1976
Cardinals,0,0,0,0,0,0,0,0,864,1976
Eagles,0,0,0,0,0,0,0,0,955,1976
Jets,0,0,0,0,0,0,0,0,972,1976
Giants,0,0,0,0,0,0,0,0,921,1976
Saints,0,0,0,0,0,0,0,0,960,1976
Patriots,0,0,0,0,0,0,0,0,946,1976
Vikings,0,0,0,0,0,0,0,0,855,1976
Dolphins,0,0,0,0,0,0,0,0,892,1976
Raiders,0,0,0,0,0,0,0,0,913,1976
Rams,0,0,0,0,0,0,0,0,871,1976
Chiefs,0,0,0,0,0,0,0,0,952,1976
Colts,0,0,0,0,0,0,0,0,866,1976
Oilers,0,0,0,0,0,0,0,0,935,1976
Packers,0,0,0,0,0,0,0,0,943,1976
Lions,0,0,0,0,0,0,0,0,837,1976
Broncos,0,0,0,0,0,0,0,0,919,1976
Cowboys,0,0,0,0,0,0,0,0,919,1976
Browns,0,0,0,0,0,0,0,0,869,1976
Bengals,0,0,0,0,0,0,0,0,930,1976
Bears,0,0,0,0,0,0,0,0,972,1976
Bills,0,0,0,0,0,0,0,0,898,1976
Falcons,0,0,0,0,0,0,0,0,949,1976
Redskins,0,0,0,0,0,0,0,0,962,1977
Buccaneers,0,0,0,0,0,0,0,0,949,1977
Seahawks,0,0,0,0,0,0,0,0,963,1977
49ers,0,0,0,0,0,0,0,0,863,1977
Chargers,0,0,0,0,0,0,0,0,882,1977
Steelers,0,0,0,0,0,0,0,0,882,1977
Cardinals,0,0,0,0,0,0,0,0,914,1977
Eagles,0,0,0,0,0,0,0,0,926,1977
Jets,0,0,0,0,0,0,0,0,978,1977
Giants,0,0,0,0,0,0,0,0,884,1977
Saints,0,0,0,0,0,0,0,0,940,1977
Patriots,0,0,0,0,0,0,0,0,866,1977
Vikings,0,0,0,0,0,0,0,0,890,1977
Dolphins,0,0,0,0,0,0,0,0,901,1977
Raiders,0,0,0,0,0,0,0,0,810,1977
Rams,0,0,0,0,0,0,0,0,868,1977
Chiefs,0,0,0,0,0,0,0,0,992,1977
Colts,0,0,0,0,0,0,0,0,852,1977
Oilers,0,0,0,0,0,0,0,0,933,1977
Packers,0,0,0,0,0,0,0,0,938,1977
Lions,0,0,0,0,0,0,0,0,855,1977
Broncos,0,0,0,0,0,0,0,0,931,1977
Cowboys,0,0,0,0,0,0,0,0,880,1977
Browns,0,0,0,0,0,0,0,0,895,1977
Bengals,0,0,0,0,0,0,0,0,901,1977
Bears,0,0,0,0,0,0,0,0,948,1977
Bills,0,0,0,0,0,0,0,0,922,1977
Falcons,0,0,0,0,0,0,0,0,866,1977
Redskins,0,0,0,0,0,0,0,0,1069,1978
Buccaneers,0,0,0,0,0,0,0,0,1047,1978
Seahawks,0,0,0,0,0,0,0,0,1036,1978
49ers,0,0,0,0,0,0,0,0,1097,1978
Chargers,0,0,0,0,0,0,0,0,1005,1978
Steelers,0,0,0,0,0,0,0,0,999,1978
Cardinals,0,0,0,0,0,0,0,0,1053,1978
Eagles,0,0,0,0,0,0,0,0,977,1978
Jets,0,0,0,0,0,0,0,0,1069,1978
Giants,0,0,0,0,0,0,0,0,1112,1978
Saints,0,0,0,0,0,0,0,0,1025,1978
Patriots,0,0,0,0,0,0,0,0,971,1978
Vikings,0,0,0,0,0,0,0,0,1034,1978
Dolphins,0,0,0,0,0,0,0,0,1021,1978
Raiders,0,0,0,0,0,0,0,0,1060,1978
Rams,0,0,0,0,0,0,0,0,951,1978
Chiefs,0,0,0,0,0,0,0,0,996,1978
Colts,0,0,0,0,0,0,0,0,1049,1978
Oilers,0,0,0,0,0,0,0,0,1021,1978
Packers,0,0,0,0,0,0,0,0,1131,1978
Lions,0,0,0,0,0,0,0,0,970,1978
Broncos,0,0,0,0,0,0,0,0,1017,1978
