Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,Year
Packers,349,4447,12.7,38,59,15,80T,222,63.6,1,2014
Lions,365,4284,11.7,22,54,11,73T,210,57.5,3,2014
Broncos,399,4779,12,40,67,11,86T,227,56.9,4,2014
Cowboys,328,4008,12.2,37,54,12,68T,205,62.5,4,2014
Browns,274,3678,13.4,12,56,11,81T,179,65.3,0,2014
Bengals,323,3551,11,20,35,8,81T,164,50.8,7,2014
Bears,396,4035,10.2,30,41,8,74,194,49,3,2014
Panthers,327,3828,11.7,23,43,4,51,199,60.9,3,2014
Bills,363,3856,10.6,23,52,8,84,186,51.2,8,2014
Ravens,344,3986,11.6,27,50,7,80T,194,56.4,4,2014
Falcons,418,4758,11.4,28,61,9,79,233,55.7,7,2014
Redskins,386,4294,11.1,30,52,9,78T,208,53.9,7,2015
Buccaneers,312,4042,13,22,57,9,68,201,64.4,4,2015
Seahawks,333,4061,12.2,34,60,9,80T,190,57.1,3,2015
49ers,322,3646,11.3,16,46,12,76T,154,47.8,4,2015
Chargers,442,4855,11,30,53,8,80T,230,52,7,2015
Steelers,391,4822,12.3,26,61,21,88T,207,52.9,3,2015
Cardinals,353,4775,13.5,35,66,15,68,237,67.1,4,2015
Eagles,405,4341,10.7,23,53,14,78T,193,47.7,6,2015
Jets,362,4170,11.5,33,56,9,69T,210,58,6,2015
Giants,392,4500,11.5,36,53,16,87T,208,53.1,6,2015
Saints,460,5205,11.3,32,72,13,80T,247,53.7,6,2015
Patriots,404,4812,11.9,36,59,12,76T,229,56.7,3,2015
Vikings,294,3246,11,14,41,6,52,153,52,4,2015
Dolphins,365,4231,11.6,24,57,13,54T,194,53.2,2,2015
Raiders,373,4129,11.1,34,53,10,68T,193,51.7,5,2015
Rams,273,2931,10.7,11,35,10,68,126,46.2,3,2015
Chiefs,310,3493,11.3,20,42,10,80T,155,50,5,2015
Jaguars,355,4428,12.5,35,72,11,90T,215,60.6,2,2015
Colts,355,3928,11.1,26,46,7,87T,195,54.9,2,2015
Texans,358,4079,11.4,29,46,8,61T,210,58.7,3,2015
Titans,342,3893,11.4,25,49,6,61T,195,57,2,2015
Packers,348,3825,11,31,55,6,65T,173,49.7,4,2015
Lions,420,4463,10.6,33,52,8,57,236,56.2,3,2015
Broncos,368,4216,11.5,19,41,11,75T,201,54.6,4,2015
Cowboys,334,3677,11,16,40,4,67,175,52.4,4,2015
Browns,371,4156,11.2,20,48,12,61,192,51.8,6,2015
Bengals,334,4104,12.3,31,63,13,80T,191,57.2,3,2015
Bears,334,3843,11.5,21,56,10,87T,177,53,4,2015
Panthers,300,3873,12.9,35,53,10,74T,197,65.7,3,2015
