Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,Year
Chargers,165,2479,15,12,0,0,0,0,0,0,1974
Steelers,166,2154,13,12,0,0,0,0,0,0,1974
Cardinals,201,2492,12.4,20,0,0,0,0,0,0,1974
Eagles,258,2531,9.8,14,0,0,0,0,0,0,1974
Jets,194,2631,13.6,20,0,0,0,0,0,0,1974
Giants,207,2349,11.3,12,0,0,0,0,0,0,1974
Saints,185,2037,11,10,0,0,0,0,0,0,1974
Patriots,177,2514,14.2,19,0,0,0,0,0,0,1974
Vikings,234,2909,12.4,22,0,0,0,0,0,0,1974
Dolphins,171,2313,13.5,18,0,0,0,0,0,0,1974
Raiders,186,2561,13.8,28,0,0,0,0,0,0,1974
Rams,169,2368,14,16,0,0,0,0,0,0,1974
Chiefs,211,2421,11.5,11,0,0,0,0,0,0,1974
Colts,221,2424,11,9,0,0,0,0,0,0,1974
Oilers,203,2275,11.2,12,0,0,0,0,0,0,1974
Packers,187,2162,11.6,5,0,0,0,0,0,0,1974
Lions,216,2475,11.5,11,0,0,0,0,0,0,1974
Broncos,184,2660,14.5,18,0,0,0,0,0,0,1974
Cowboys,206,2856,13.9,14,0,0,0,0,0,0,1974
Browns,179,2129,11.9,12,0,0,0,0,0,0,1974
Bengals,224,2804,12.5,18,0,0,0,0,0,0,1974
Bears,185,2079,11.2,8,0,0,0,0,0,0,1974
Bills,128,1728,13.5,14,0,0,0,0,0,0,1974
Falcons,160,1781,11.1,4,0,0,0,0,0,0,1974
Redskins,229,3092,13.5,28,0,0,96T,0,0,0,1975
49ers,234,2806,12,15,0,0,68T,0,0,0,1975
Chargers,165,1998,12.1,7,0,0,57,0,0,0,1975
Steelers,191,2544,13.3,21,0,0,59,0,0,0,1975
Cardinals,187,2619,14,20,0,0,80T,0,0,0,1975
Eagles,238,2640,11.1,19,0,0,62T,0,0,0,1975
Jets,174,2468,14.2,16,0,0,91,0,0,0,1975
Giants,193,2457,12.7,11,0,0,56,0,0,0,1975
Saints,181,1961,10.8,8,0,0,71T,0,0,0,1975
Patriots,193,2768,14.3,16,0,0,76,0,0,0,1975
Vikings,281,3121,11.1,27,0,0,46,0,0,0,1975
Dolphins,170,2196,12.9,19,0,0,79T,0,0,0,1975
Raiders,196,2625,13.4,19,0,0,53,0,0,0,1975
Rams,181,2450,13.5,14,0,0,54T,0,0,0,1975
Chiefs,217,2785,12.8,15,0,0,69T,0,0,0,1975
Colts,211,2606,12.4,19,0,0,90T,0,0,0,1975
Oilers,165,2099,12.7,14,0,0,77T,0,0,0,1975
Packers,212,2400,11.3,11,0,0,56,0,0,0,1975
Lions,183,2240,12.2,15,0,0,65T,0,0,0,1975
Broncos,210,2900,13.8,15,0,0,90T,0,0,0,1975
Cowboys,207,2835,13.7,19,0,0,62,0,0,0,1975
Browns,220,2297,10.4,7,0,0,48,0,0,0,1975
Bengals,255,3497,13.7,23,0,0,55,0,0,0,1975
Bears,191,2169,11.4,9,0,0,57,0,0,0,1975
Bills,182,2661,14.6,28,0,0,77T,0,0,0,1975
Falcons,165,2361,14.3,18,0,0,68,0,0,0,1975
Redskins,187,2288,12.2,20,0,0,53T,0,0,0,1976
Buccaneers,181,1926,10.6,9,0,0,49,0,0,0,1976
Seahawks,229,2874,12.6,13,0,0,80T,0,0,0,1976
49ers,155,1963,12.7,15,0,0,85T,0,0,0,1976
Chargers,223,2687,12,17,0,0,81T,0,0,0,1976
Steelers,143,1935,13.5,10,0,0,64,0,0,0,1976
Cardinals,220,2967,13.5,18,0,0,77T,0,0,0,1976
Eagles,182,1844,10.1,11,0,0,48T,0,0,0,1976
Jets,180,1989,11.1,7,0,0,44T,0,0,0,1976
Giants,175,2104,12,9,0,0,63T,0,0,0,1976
Saints,206,2353,11.4,8,0,0,74,0,0,0,1976
Patriots,146,1910,13.1,18,0,0,58T,0,0,0,1976
Vikings,270,3117,11.5,17,0,0,56T,0,0,0,1976
Dolphins,193,2604,13.5,15,0,0,67T,0,0,0,1976
Raiders,232,3195,13.8,33,0,0,88T,0,0,0,1976
Rams,171,2629,15.4,17,0,0,80T,0,0,0,1976
Chiefs,229,3303,14.4,15,0,0,57,0,0,0,1976
Colts,215,3221,15,24,0,0,79T,0,0,0,1976
Oilers,227,2429,10.7,17,0,0,69T,0,0,0,1976
Packers,164,2105,12.8,10,0,0,69T,0,0,0,1976
Lions,201,2630,13.1,20,0,0,74T,0,0,0,1976
Broncos,168,2510,14.9,15,0,0,71T,0,0,0,1976
Cowboys,222,2967,13.4,17,0,0,56,0,0,0,1976
Browns,209,2399,11.5,21,0,0,52,0,0,0,1976
Bengals,187,2443,13.1,21,0,0,85T,0,0,0,1976
Bears,123,1705,13.9,9,0,0,63T,0,0,0,1976
Bills,156,2084,13.4,16,0,0,58T,0,0,0,1976
Falcons,157,1809,11.5,10,0,0,50T,0,0,0,1976
Redskins,183,2284,12.5,15,0,0,59T,0,0,0,1977
Buccaneers,131,1714,13.1,3,0,0,67T,0,0,0,1977
Seahawks,175,2459,14.1,23,0,0,82T,0,0,0,1977
49ers,136,1797,13.2,9,0,0,47T,0,0,0,1977
Chargers,206,2442,11.9,11,0,0,78,0,0,0,1977
Steelers,173,2632,15.2,17,0,0,65T,0,0,0,1977
Cardinals,195,2608,13.4,14,0,0,69T,0,0,0,1977
Eagles,167,2198,13.2,18,0,0,55T,0,0,0,1977
Jets,170,2286,13.4,14,0,0,87T,0,0,0,1977
Giants,134,1762,13.1,6,0,0,82,0,0,0,1977
Saints,166,1933,11.6,13,0,0,59T,0,0,0,1977
Patriots,160,2162,13.5,17,0,0,68,0,0,0,1977
Vikings,228,2692,11.8,19,0,0,69T,0,0,0,1977
Dolphins,182,2264,12.4,22,0,0,73T,0,0,0,1977
Raiders,184,2338,12.7,21,0,0,44T,0,0,0,1977
Rams,182,2253,12.4,16,0,0,58,0,0,0,1977
Chiefs,190,2514,13.2,11,0,0,63,0,0,0,1977
Colts,224,2686,12,17,0,0,78T,0,0,0,1977
Oilers,181,2107,11.6,14,0,0,85T,0,0,0,1977
Packers,164,2013,12.3,6,0,0,95T,0,0,0,1977
Lions,191,1959,10.3,7,0,0,61,0,0,0,1977
Broncos,163,2265,13.9,15,0,0,81T,0,0,0,1977
Cowboys,215,2689,12.5,18,0,0,67,0,0,0,1977
Browns,208,2374,11.4,19,0,0,60,0,0,0,1977
Bengals,192,2550,13.3,12,0,0,94T,0,0,0,1977
Bears,161,2070,12.9,11,0,0,75T,0,0,0,1977
Bills,221,2803,12.7,12,0,0,42,0,0,0,1977
Falcons,140,1740,12.4,8,0,0,73T,0,0,0,1977
Redskins,212,2978,14,17,0,0,63,0,0,0,1978
Buccaneers,151,2171,14.4,12,0,0,66,0,0,0,1978
Seahawks,261,3401,13,15,0,0,64T,0,0,0,1978
49ers,190,2306,12.1,9,0,0,58T,0,0,0,1978
Chargers,271,3566,13.2,26,0,0,55T,0,0,0,1978
Steelers,212,2961,14,28,0,0,70,0,0,0,1978
Cardinals,252,3357,13.3,16,0,0,74,0,0,0,1978
Eagles,207,2485,12,16,0,0,56T,0,0,0,1978
Jets,193,2957,15.3,19,0,0,77T,0,0,0,1978
Giants,176,2428,13.8,13,0,0,67T,0,0,0,1978
Saints,294,3452,11.7,17,0,0,71T,0,0,0,1978
Patriots,196,3006,15.3,15,0,0,75T,0,0,0,1978
Vikings,352,3528,10,25,0,0,58T,0,0,0,1978
Dolphins,226,2707,12,24,0,0,63T,0,0,0,1978
Raiders,251,3095,12.3,16,0,0,49,0,0,0,1978
Rams,236,3109,13.2,13,0,0,68T,0,0,0,1978
Chiefs,204,2032,10,7,0,0,44,0,0,0,1978
Colts,202,2543,12.6,17,0,0,78T,0,0,0,1978
Oilers,201,2473,12.3,16,0,0,80T,0,0,0,1978
Packers,180,2358,13.1,11,0,0,58T,0,0,0,1978
Lions,247,2746,11.1,19,0,0,47,0,0,0,1978
Broncos,217,2710,12.5,17,0,0,42T,0,0,0,1978
Cowboys,251,3405,13.6,25,0,0,91T,0,0,0,1978
Browns,236,3137,13.3,22,0,0,69T,0,0,0,1978
Bengals,250,3039,12.2,14,0,0,57,0,0,0,1978
Bears,186,2221,11.9,7,0,0,61,0,0,0,1978
Bills,203,2503,12.3,21,0,0,92T,0,0,0,1978
Falcons,221,2883,13,11,0,0,71,0,0,0,1978
Redskins,235,2839,12.1,20,0,0,62,0,0,0,1979
Buccaneers,183,2700,14.8,19,0,0,66T,0,0,0,1979
Seahawks,292,3791,13,20,0,0,65T,0,0,0,1979
49ers,361,3760,10.4,18,0,0,50,0,0,0,1979
Chargers,338,4138,12.2,24,0,0,65T,0,0,0,1979
Steelers,272,3877,14.3,26,0,0,65T,0,0,0,1979
Cardinals,248,2870,11.6,12,0,0,78T,0,0,0,1979
Eagles,209,2882,13.8,21,0,0,53T,0,0,0,1979
Jets,190,2864,15.1,16,0,0,72T,0,0,0,1979
Giants,190,2419,12.7,15,0,0,61,0,0,0,1979
Saints,257,3291,12.8,16,0,0,85,0,0,0,1979
Patriots,237,3600,15.2,30,0,0,63T,0,0,0,1979
Vikings,315,3397,10.8,23,0,0,55T,0,0,0,1979
Dolphins,235,3018,12.8,20,0,0,53,0,0,0,1979
Raiders,311,3704,11.9,27,0,0,66T,0,0,0,1979
Rams,242,3032,12.5,19,0,0,71T,0,0,0,1979
Chiefs,190,1953,10.3,7,0,0,40,0,0,0,1979
Colts,313,3575,11.4,18,0,0,67T,0,0,0,1979
Oilers,195,2494,12.8,17,0,0,55T,0,0,0,1979
Packers,240,3057,12.7,15,0,0,78T,0,0,0,1979
Lions,218,2775,12.7,14,0,0,82,0,0,0,1979
Broncos,260,3433,13.2,18,0,0,64T,0,0,0,1979
Cowboys,287,3883,13.5,29,0,0,75T,0,0,0,1979
Browns,289,3838,13.3,28,0,0,74,0,0,0,1979
Bengals,228,2821,12.4,17,0,0,73T,0,0,0,1979
Bears,195,2429,12.5,16,0,0,68T,0,0,0,1979
Bills,241,3603,15,14,0,0,84T,0,0,0,1979
Falcons,251,3127,12.5,19,0,0,57,0,0,0,1979
Redskins,284,3171,11.2,17,0,0,54T,0,0,0,1980
Buccaneers,256,3414,13.3,20,0,0,61,0,0,0,1980
Seahawks,287,3494,12.2,18,0,0,67T,0,0,0,1980
49ers,363,3799,10.5,27,0,0,93T,0,0,0,1980
Chargers,350,4741,13.5,30,0,0,65,0,0,0,1980
Steelers,250,3832,15.3,26,0,0,72,0,0,0,1980
Cardinals,239,3063,12.8,16,0,0,69T,0,0,0,1980
Eagles,275,3771,13.7,28,0,0,56T,0,0,0,1980
Jets,265,3335,12.6,17,0,0,55,0,0,0,1980
Giants,245,2931,12,19,0,0,58T,0,0,0,1980
Saints,334,4010,12,26,0,0,56,0,0,0,1980
Patriots,240,3395,14.1,27,0,0,71,0,0,0,1980
Vikings,331,3934,11.9,22,0,0,76T,0,0,0,1980
Dolphins,267,2953,11.1,21,0,0,61,0,0,0,1980
Raiders,235,3294,14,23,0,0,86T,0,0,0,1980
Rams,261,3441,13.2,31,0,0,74T,0,0,0,1980
Chiefs,237,2869,12.1,15,0,0,77,0,0,0,1980
Colts,272,3409,12.5,25,0,0,47,0,0,0,1980
Oilers,296,3271,11.1,15,0,0,79T,0,0,0,1980
Packers,289,3651,12.6,15,0,0,69T,0,0,0,1980
Lions,248,3287,13.3,13,0,0,87T,0,0,0,1980
Broncos,262,3107,11.9,14,0,0,52,0,0,0,1980
Cowboys,265,3356,12.7,30,0,0,58T,0,0,0,1980
Browns,337,4132,12.3,30,0,0,65,0,0,0,1980
Bengals,281,3102,11,17,0,0,67T,0,0,0,1980
Bears,209,2669,12.8,13,0,0,89T,0,0,0,1980
Bills,262,2936,11.2,20,0,0,69,0,0,0,1980
Falcons,259,3568,13.8,31,0,0,81T,0,0,0,1980
Redskins,307,3743,12.2,19,0,0,79T,0,0,0,1981
Buccaneers,239,3565,14.9,20,0,0,84T,0,0,0,1981
Seahawks,307,3727,12.1,21,0,0,80T,0,0,0,1981
49ers,328,3766,11.5,20,0,0,78T,0,0,0,1981
Chargers,368,4873,13.2,34,0,0,67T,0,0,0,1981
Steelers,247,3457,14,25,0,0,90T,0,0,0,1981
Cardinals,253,3269,12.9,15,0,0,75,0,0,0,1981
Eagles,258,3249,12.6,25,0,0,85T,0,0,0,1981
Jets,283,3279,11.6,26,0,0,49,0,0,0,1981
Giants,251,3009,12,16,0,0,80,0,0,0,1981
Saints,238,2778,11.7,8,0,0,55,0,0,0,1981
Patriots,254,3904,15.4,17,0,0,76T,0,0,0,1981
Vikings,382,4567,12,27,0,0,63,0,0,0,1981
Dolphins,271,3385,12.5,18,0,0,69T,0,0,0,1981
Raiders,267,3356,12.6,18,0,0,66T,0,0,0,1981
Rams,235,3008,12.8,15,0,0,67T,0,0,0,1981
Chiefs,224,2917,13,12,0,0,64T,0,0,0,1981
Colts,265,3379,12.8,21,0,0,67T,0,0,0,1981
Oilers,258,3119,12.1,21,0,0,71T,0,0,0,1981
Packers,286,3576,12.5,24,0,0,75T,0,0,0,1981
Lions,228,3475,15.2,18,0,0,94T,0,0,0,1981
Broncos,289,3992,13.8,27,0,0,95T,0,0,0,1981
Cowboys,241,3414,14.2,24,0,0,73T,0,0,0,1981
Browns,348,4339,12.5,21,0,0,62,0,0,0,1981
Bengals,332,4200,12.7,30,0,0,74T,0,0,0,1981
Bears,222,2728,12.3,14,0,0,85T,0,0,0,1981
Bills,253,3661,14.5,25,0,0,67T,0,0,0,1981
Falcons,311,3986,12.8,30,0,0,70T,0,0,0,1981
Redskins,162,2068,12.8,13,0,0,78T,0,0,0,1982
Buccaneers,164,2071,12.6,9,0,0,62T,0,0,0,1982
Seahawks,176,2068,11.8,9,0,0,50,0,0,0,1982
49ers,215,2668,12.4,17,0,0,55,0,0,0,1982
Chargers,208,3021,14.5,19,0,0,66T,0,0,0,1982
Steelers,141,1922,13.6,17,0,0,74T,0,0,0,1982
Cardinals,129,1576,12.2,6,0,0,42,0,0,0,1982
Eagles,168,2100,12.5,12,0,0,57,0,0,0,1982
Jets,165,2107,12.8,16,0,0,56T,0,0,0,1982
Giants,161,2017,12.5,10,0,0,47,0,0,0,1982
Saints,137,1571,11.5,8,0,0,48,0,0,0,1982
Patriots,93,1420,15.3,12,0,0,75T,0,0,0,1982
Vikings,187,2105,11.3,15,0,0,65,0,0,0,1982
Dolphins,129,1401,10.9,8,0,0,46,0,0,0,1982
Raiders,154,2086,13.5,14,0,0,52,0,0,0,1982
Rams,166,2136,12.9,11,0,0,85T,0,0,0,1982
Chiefs,145,1864,12.9,10,0,0,51,0,0,0,1982
Colts,142,1613,11.4,6,0,0,53T,0,0,0,1982
Oilers,153,1882,12.3,12,0,0,54T,0,0,0,1982
Packers,143,2068,14.5,12,0,0,80T,0,0,0,1982
Lions,136,1754,12.9,12,0,0,70T,0,0,0,1982
Broncos,181,2019,11.2,8,0,0,51T,0,0,0,1982
Cowboys,160,2150,13.4,16,0,0,49,0,0,0,1982
Browns,174,2057,11.8,9,0,0,56T,0,0,0,1982
Bengals,219,2501,11.4,12,0,0,56T,0,0,0,1982
Bears,141,1749,12.4,10,0,0,50T,0,0,0,1982
Bills,149,1671,11.2,8,0,0,47,0,0,0,1982
Falcons,176,1992,11.3,9,0,0,86T,0,0,0,1982
Redskins,278,3765,13.5,29,0,0,84,0,0,0,1983
Buccaneers,300,3490,11.6,18,0,0,80,0,0,0,1983
Seahawks,251,3316,13.2,25,0,0,50T,0,0,0,1983
49ers,339,4021,11.9,27,0,0,77T,0,0,0,1983
Chargers,369,4891,13.3,27,0,0,59T,0,0,0,1983
Steelers,211,2754,13.1,15,0,0,52,0,0,0,1983
Cardinals,267,3309,12.4,29,0,0,71T,0,0,0,1983
Eagles,252,3532,14,22,0,0,83T,0,0,0,1983
Jets,330,3742,11.3,21,0,0,64T,0,0,0,1983
Giants,284,3854,13.6,12,0,0,62,0,0,0,1983
Saints,243,2782,11.4,14,0,0,48,0,0,0,1983
Patriots,220,3040,13.8,16,0,0,76T,0,0,0,1983
Vikings,310,3514,11.3,15,0,0,68,0,0,0,1983
Dolphins,254,3235,12.7,28,0,0,85T,0,0,0,1983
Raiders,301,3910,13,31,0,0,99T,0,0,0,1983
Rams,286,3411,11.9,23,0,0,61T,0,0,0,1983
Chiefs,369,4684,12.7,29,0,0,53,0,0,0,1983
Colts,188,2663,14.2,12,0,0,72T,0,0,0,1983
Oilers,260,3286,12.6,16,0,0,66,0,0,0,1983
Packers,311,4688,15.1,33,0,0,75T,0,0,0,1983
Lions,263,3297,12.5,19,0,0,80T,0,0,0,1983
Broncos,254,3466,13.6,17,0,0,78T,0,0,0,1983
Cowboys,346,4156,12,31,0,0,80T,0,0,0,1983
Browns,324,3932,12.1,27,0,0,66T,0,0,0,1983
Bengals,290,3492,12,14,0,0,80T,0,0,0,1983
Bears,255,3461,13.6,21,0,0,87T,0,0,0,1983
Bills,317,3438,10.8,30,0,0,43T,0,0,0,1983
Falcons,321,3793,11.8,24,0,0,76T,0,0,0,1983
Redskins,286,3417,11.9,24,0,0,80T,0,0,0,1984
Buccaneers,334,3907,11.7,22,0,0,74T,0,0,0,1984
Seahawks,283,3751,13.3,32,0,0,80T,0,0,0,1984
49ers,312,4079,13.1,32,0,0,80T,0,0,0,1984
Chargers,401,4928,12.3,25,0,0,88T,0,0,0,1984
Steelers,240,3519,14.7,25,0,0,80T,0,0,0,1984
Cardinals,347,4634,13.4,28,0,0,83T,0,0,0,1984
Eagles,331,3823,11.5,19,0,0,90T,0,0,0,1984
Jets,272,3341,12.3,20,0,0,49,0,0,0,1984
Giants,288,4066,14.1,22,0,0,65T,0,0,0,1984
Saints,246,3198,13,21,0,0,74,0,0,0,1984
Patriots,292,3685,12.6,26,0,0,76T,0,0,0,1984
Vikings,281,3337,11.9,18,0,0,70T,0,0,0,1984
Dolphins,367,5146,14,49,0,0,80T,0,0,0,1984
Raiders,266,3718,14,21,0,0,92,0,0,0,1984
Rams,176,2382,13.5,16,0,0,68,0,0,0,1984
Chiefs,305,3869,12.7,21,0,0,65T,0,0,0,1984
Colts,206,2543,12.3,13,0,0,74T,0,0,0,1984
Oilers,282,3610,12.8,14,0,0,76,0,0,0,1984
Packers,281,3740,13.3,30,0,0,79T,0,0,0,1984
Lions,298,3787,12.7,19,0,0,77T,0,0,0,1984
Broncos,263,3116,11.8,22,0,0,73,0,0,0,1984
Cowboys,322,3995,12.4,19,0,0,68T,0,0,0,1984
Browns,273,3490,12.8,14,0,0,64,0,0,0,1984
Bengals,306,3659,12,17,0,0,80T,0,0,0,1984
Bears,226,2695,11.9,14,0,0,61T,0,0,0,1984
Bills,298,3252,10.9,18,0,0,70T,0,0,0,1984
Falcons,294,3546,12.1,14,0,0,61,0,0,0,1984
Redskins,280,3243,11.6,13,0,0,55,0,0,0,1985
Buccaneers,269,3423,12.7,22,0,0,59,0,0,0,1985
Seahawks,304,3820,12.6,28,0,0,54,0,0,0,1985
49ers,331,3987,12,28,0,0,73,0,0,0,1985
Chargers,386,5175,13.4,37,0,0,75T,0,0,0,1985
Steelers,254,3397,13.4,23,0,0,69,0,0,0,1985
Cardinals,296,3581,12.1,19,0,0,47,0,0,0,1985
Eagles,290,4036,13.9,19,0,0,99T,0,0,0,1985
Jets,303,3983,13.1,25,0,0,96T,0,0,0,1985
Giants,275,3829,13.9,22,0,0,70T,0,0,0,1985
Saints,260,3257,12.5,20,0,0,76T,0,0,0,1985
Patriots,255,3483,13.7,20,0,0,90T,0,0,0,1985
Vikings,311,3931,12.6,22,0,0,57T,0,0,0,1985
Dolphins,343,4278,12.5,31,0,0,73,0,0,0,1985
Raiders,269,3481,12.9,20,0,0,59,0,0,0,1985
Rams,234,2872,12.3,16,0,0,64T,0,0,0,1985
Chiefs,267,3726,14,23,0,0,84T,0,0,0,1985
Colts,235,2811,12,15,0,0,80T,0,0,0,1985
Oilers,277,3523,12.7,18,0,0,80T,0,0,0,1985
Packers,267,3552,13.3,21,0,0,63,0,0,0,1985
Lions,254,3316,13.1,19,0,0,56,0,0,0,1985
Broncos,329,3952,12,23,0,0,65T,0,0,0,1985
Cowboys,344,4236,12.3,27,0,0,58T,0,0,0,1985
Browns,222,2885,13,17,0,0,72T,0,0,0,1985
Bengals,302,4082,13.5,31,0,0,71,0,0,0,1985
Bears,237,3303,13.9,17,0,0,70T,0,0,0,1985
Bills,263,3331,12.7,9,0,0,60T,0,0,0,1985
Falcons,254,3025,11.9,13,0,0,62T,0,0,0,1985
Redskins,276,4109,14.9,22,0,0,71T,0,0,0,1986
Buccaneers,245,2892,11.8,13,0,0,46,0,0,0,1986
Seahawks,268,3424,12.8,24,0,0,72T,0,0,0,1986
49ers,353,4299,12.2,21,0,0,66T,0,0,0,1986
Chargers,339,4045,11.9,21,0,0,65T,0,0,0,1986
Steelers,238,2747,11.5,16,0,0,58,0,0,0,1986
Cardinals,293,3140,10.7,17,0,0,48T,0,0,0,1986
Eagles,268,3248,12.1,19,0,0,75T,0,0,0,1986
Jets,334,4032,12.1,27,0,0,83T,0,0,0,1986
Giants,260,3500,13.5,22,0,0,49,0,0,0,1986
Saints,232,2893,12.5,13,0,0,84,0,0,0,1986
Patriots,340,4321,12.7,29,0,0,69T,0,0,0,1986
Vikings,290,4185,14.4,31,0,0,76T,0,0,0,1986
Dolphins,392,4898,12.5,46,0,0,85T,0,0,0,1986
Raiders,281,3973,14.1,27,0,0,81T,0,0,0,1986
Rams,194,2380,12.3,15,0,0,65T,0,0,0,1986
Chiefs,257,3122,12.1,23,0,0,70T,0,0,0,1986
Colts,300,3615,12.1,16,0,0,84T,0,0,0,1986
Oilers,288,3843,13.3,14,0,0,81T,0,0,0,1986
Packers,305,3708,12.2,18,0,0,62,0,0,0,1986
Lions,286,3107,10.9,18,0,0,73,0,0,0,1986
Broncos,306,3811,12.5,22,0,0,53,0,0,0,1986
Cowboys,319,4003,12.5,21,0,0,84T,0,0,0,1986
Browns,315,4018,12.8,18,0,0,72T,0,0,0,1986
Bengals,287,4160,14.5,25,0,0,57,0,0,0,1986
Bears,208,2912,14,12,0,0,85,0,0,0,1986
Bills,294,3697,12.6,22,0,0,84T,0,0,0,1986
Falcons,246,3046,12.4,14,0,0,65,0,0,0,1986
Redskins,247,3718,15.1,27,0,0,88T,0,0,0,1987
Buccaneers,264,3377,12.8,22,0,0,64T,0,0,0,1987
Seahawks,237,3028,12.8,31,0,0,75T,0,0,0,1987
49ers,322,3955,12.3,44,0,0,57T,0,0,0,1987
Chargers,303,3602,11.9,13,0,0,67,0,0,0,1987
Steelers,198,2464,12.4,13,0,0,63,0,0,0,1987
Cardinals,305,3850,12.6,25,0,0,57,0,0,0,1987
Eagles,283,3561,12.6,26,0,0,70T,0,0,0,1987
Jets,302,3402,11.3,18,0,0,59,0,0,0,1987
Giants,265,3645,13.8,26,0,0,63T,0,0,0,1987
Saints,227,2987,13.2,23,0,0,82T,0,0,0,1987
Patriots,236,2929,12.4,22,0,0,45,0,0,0,1987
Vikings,232,3185,13.7,21,0,0,73T,0,0,0,1987
Dolphins,338,3977,11.8,29,0,0,59T,0,0,0,1987
Raiders,247,3429,13.9,19,0,0,49,0,0,0,1987
Rams,220,2750,12.5,16,0,0,81T,0,0,0,1987
Chiefs,236,2985,12.6,17,0,0,81T,0,0,0,1987
Colts,255,3042,11.9,16,0,0,72T,0,0,0,1987
Oilers,240,3534,14.7,24,0,0,83T,0,0,0,1987
Packers,234,2977,12.7,15,0,0,70T,0,0,0,1987
Lions,275,3150,11.5,16,0,0,53T,0,0,0,1987
Broncos,285,3874,13.6,24,0,0,72T,0,0,0,1987
Cowboys,288,3594,12.5,19,0,0,77T,0,0,0,1987
Browns,291,3625,12.5,27,0,0,54T,0,0,0,1987
Bengals,255,3468,13.6,17,0,0,61T,0,0,0,1987
Bears,272,3420,12.6,23,0,0,59T,0,0,0,1987
Bills,292,3246,11.1,21,0,0,47,0,0,0,1987
Falcons,247,3108,12.6,17,0,0,57,0,0,0,1987
Redskins,327,4339,13.3,33,0,0,60T,0,0,0,1988
Buccaneers,253,3608,14.3,16,0,0,59T,0,0,0,1988
Seahawks,245,2979,12.2,22,0,0,75T,0,0,0,1988
49ers,293,3675,12.5,21,0,0,96T,0,0,0,1988
Chargers,241,2628,10.9,11,0,0,59,0,0,0,1988
Steelers,226,3307,14.6,15,0,0,89T,0,0,0,1988
Cardinals,322,4191,13,26,0,0,93T,0,0,0,1988
Eagles,309,3927,12.7,25,0,0,80T,0,0,0,1988
Jets,299,3374,11.3,20,0,0,50T,0,0,0,1988
Giants,290,3716,12.8,22,0,0,85T,0,0,0,1988
Saints,286,3256,11.4,21,0,0,40T,0,0,0,1988
Patriots,199,2333,11.7,12,0,0,80T,0,0,0,1988
Vikings,294,4100,13.9,20,0,0,68T,0,0,0,1988
Dolphins,363,4557,12.6,29,0,0,80T,0,0,0,1988
Raiders,219,3503,16,21,0,0,85T,0,0,0,1988
Rams,312,4002,12.8,31,0,0,69T,0,0,0,1988
Chiefs,282,3484,12.4,16,0,0,80T,0,0,0,1988
Colts,222,2865,12.9,15,0,0,58,0,0,0,1988
Oilers,218,3166,14.5,21,0,0,57T,0,0,0,1988
Packers,319,3609,11.3,13,0,0,56,0,0,0,1988
Lions,213,2572,12.1,13,0,0,56,0,0,0,1988
Broncos,324,3941,12.2,24,0,0,86,0,0,0,1988
Cowboys,307,3727,12.1,21,0,0,61T,0,0,0,1988
Browns,313,3686,11.8,19,0,0,77T,0,0,0,1988
Bengals,225,3592,16,28,0,0,86T,0,0,0,1988
Bears,248,3173,12.8,13,0,0,76T,0,0,0,1988
Bills,271,3411,12.6,15,0,0,66T,0,0,0,1988
Falcons,250,2914,11.7,13,0,0,68T,0,0,0,1988
Redskins,337,4476,13.3,24,0,0,80T,0,0,0,1989
Buccaneers,302,3666,12.1,23,0,0,78T,0,0,0,1989
Seahawks,316,3583,11.3,21,0,0,60T,0,0,0,1989
49ers,339,4584,13.5,35,0,0,95T,0,0,0,1989
Chargers,270,3291,12.2,15,0,0,69T,0,0,0,1989
Steelers,210,2662,12.7,10,0,0,79T,0,0,0,1989
Cardinals,279,3659,13.1,17,0,0,77T,0,0,0,1989
Eagles,294,3455,11.8,23,0,0,66T,0,0,0,1989
Jets,338,3892,11.5,14,0,0,63T,0,0,0,1989
Giants,248,3355,13.5,17,0,0,62T,0,0,0,1989
Saints,284,3651,12.9,23,0,0,54T,0,0,0,1989
Patriots,302,3972,13.2,17,0,0,65T,0,0,0,1989
Vikings,272,3468,12.8,17,0,0,50,0,0,0,1989
Dolphins,331,4302,13,26,0,0,78T,0,0,0,1989
Raiders,201,3277,16.3,21,0,0,84T,0,0,0,1989
Rams,308,4369,14.2,29,0,0,78T,0,0,0,1989
Chiefs,259,3220,12.4,14,0,0,50,0,0,0,1989
Colts,253,3134,12.4,18,0,0,82T,0,0,0,1989
Oilers,295,3786,12.8,23,0,0,55,0,0,0,1989
Packers,354,4325,12.2,27,0,0,79T,0,0,0,1989
Lions,229,3282,14.3,11,0,0,75T,0,0,0,1989
Broncos,256,3352,13.1,21,0,0,69,0,0,0,1989
Cowboys,266,3124,11.7,14,0,0,75T,0,0,0,1989
Browns,309,3625,11.7,20,0,0,97T,0,0,0,1989
Bengals,288,3950,13.7,32,0,0,74T,0,0,0,1989
Bears,267,3262,12.2,21,0,0,79T,0,0,0,1989
Bills,281,3831,13.6,32,0,0,78T,0,0,0,1989
Falcons,312,3903,12.5,17,0,0,72T,0,0,0,1989
Redskins,301,3611,12,22,0,0,53T,0,0,0,1990
Buccaneers,245,3282,13.4,18,0,0,89T,0,0,0,1990
Seahawks,265,3194,12.1,15,0,0,63T,0,0,0,1990
