Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,PDef,Year
Bears,208,2825,13.6,22,0,0,79T,0,0,0,0,1975
Bills,237,3355,14.2,25,0,0,89T,0,0,0,0,1975
Falcons,227,2810,12.4,16,0,0,71T,0,0,0,0,1975
Redskins,146,2241,15.3,11,0,0,85T,0,0,0,0,1976
Buccaneers,178,2412,13.6,19,0,0,71T,0,0,0,0,1976
Seahawks,223,2770,12.4,27,0,0,66T,0,0,0,0,1976
49ers,180,2349,13.1,13,0,0,77T,0,0,0,0,1976
Chargers,219,2822,12.9,21,0,0,74T,0,0,0,0,1976
Steelers,158,2179,13.8,9,0,0,69T,0,0,0,0,1976
Cardinals,176,2358,13.4,13,0,0,72T,0,0,0,0,1976
Eagles,237,2688,11.3,17,0,0,69T,0,0,0,0,1976
Jets,204,2468,12.1,25,0,0,85T,0,0,0,0,1976
Giants,189,2230,11.8,11,0,0,53T,0,0,0,0,1976
Saints,200,2514,12.6,18,0,0,55T,0,0,0,0,1976
Patriots,229,2604,11.4,16,0,0,55,0,0,0,0,1976
Vikings,158,1897,12,8,0,0,80T,0,0,0,0,1976
Dolphins,195,2863,14.7,20,0,0,64,0,0,0,0,1976
Raiders,197,2846,14.4,13,0,0,57T,0,0,0,0,1976
Rams,199,2487,12.5,11,0,0,57,0,0,0,0,1976
Chiefs,215,2684,12.5,25,0,0,57,0,0,0,0,1976
Colts,192,2804,14.6,16,0,0,67T,0,0,0,0,1976
Oilers,173,2259,13.1,17,0,0,81T,0,0,0,0,1976
Packers,196,2192,11.2,13,0,0,88T,0,0,0,0,1976
Lions,137,1904,13.9,11,0,0,69T,0,0,0,0,1976
Broncos,214,2265,10.6,8,0,0,58,0,0,0,0,1976
Cowboys,187,2236,12,12,0,0,54T,0,0,0,0,1976
Browns,225,2353,10.5,18,0,0,69T,0,0,0,0,1976
Bengals,177,2202,12.4,13,0,0,68T,0,0,0,0,1976
Bears,200,2612,13.1,15,0,0,75T,0,0,0,0,1976
Bills,163,2475,15.2,18,0,0,53T,0,0,0,0,1976
Falcons,184,2276,12.4,14,0,0,80T,0,0,0,0,1976
Redskins,167,2430,14.6,12,0,0,82,0,0,0,0,1977
Buccaneers,191,2149,11.3,10,0,0,51T,0,0,0,0,1977
Seahawks,199,2464,12.4,19,0,0,67T,0,0,0,0,1977
49ers,139,1948,14,14,0,0,73T,0,0,0,0,1977
Chargers,172,2088,12.1,14,0,0,74T,0,0,0,0,1977
Steelers,157,2254,14.4,16,0,0,65T,0,0,0,0,1977
Cardinals,198,2476,12.5,22,0,0,64,0,0,0,0,1977
Eagles,183,2192,12,14,0,0,80T,0,0,0,0,1977
Jets,215,2587,12,23,0,0,53T,0,0,0,0,1977
Giants,185,2399,13,12,0,0,58T,0,0,0,0,1977
Saints,154,2127,13.8,15,0,0,58,0,0,0,0,1977
Patriots,188,2504,13.3,16,0,0,78T,0,0,0,0,1977
Vikings,149,1835,12.3,15,0,0,95T,0,0,0,0,1977
Dolphins,226,2393,10.6,10,0,0,47,0,0,0,0,1977
Raiders,177,2503,14.1,17,0,0,87T,0,0,0,0,1977
Rams,180,2236,12.4,11,0,0,73T,0,0,0,0,1977
Chiefs,175,2244,12.8,15,0,0,48T,0,0,0,0,1977
Colts,181,2549,14.1,10,0,0,68,0,0,0,0,1977
Oilers,192,2431,12.7,12,0,0,49T,0,0,0,0,1977
Packers,186,2042,11,10,0,0,59T,0,0,0,0,1977
Lions,161,2123,13.2,14,0,0,75T,0,0,0,0,1977
Broncos,235,2556,10.9,11,0,0,51,0,0,0,0,1977
Cowboys,154,1991,12.9,14,0,0,60T,0,0,0,0,1977
Browns,184,2298,12.5,15,0,0,67T,0,0,0,0,1977
Bengals,196,2453,12.5,14,0,0,82T,0,0,0,0,1977
Bears,182,2334,12.8,7,0,0,85T,0,0,0,0,1977
Bills,155,2213,14.3,17,0,0,67,0,0,0,0,1977
Falcons,141,1775,12.6,9,0,0,78,0,0,0,0,1977
Redskins,197,2701,13.7,11,0,0,78T,0,0,0,0,1978
Buccaneers,241,2535,10.5,13,0,0,68T,0,0,0,0,1978
Seahawks,263,3225,12.3,21,0,0,55T,0,0,0,0,1978
49ers,219,2948,13.5,20,0,0,71,0,0,0,0,1978
Chargers,237,2825,11.9,23,0,0,64T,0,0,0,0,1978
Steelers,221,2755,12.5,10,0,0,49,0,0,0,0,1978
Cardinals,212,2641,12.5,19,0,0,56,0,0,0,0,1978
Eagles,228,2986,13.1,17,0,0,58T,0,0,0,0,1978
Jets,260,3052,11.7,21,0,0,52,0,0,0,0,1978
Giants,210,2637,12.6,10,0,0,74,0,0,0,0,1978
Saints,215,2700,12.6,21,0,0,80T,0,0,0,0,1978
Patriots,235,3059,13,21,0,0,67T,0,0,0,0,1978
Vikings,240,2917,12.2,15,0,0,56T,0,0,0,0,1978
Dolphins,256,3251,12.7,15,0,0,92T,0,0,0,0,1978
Raiders,234,2916,12.5,17,0,0,58T,0,0,0,0,1978
Rams,188,2449,13,15,0,0,66,0,0,0,0,1978
Chiefs,219,2820,12.9,17,0,0,57T,0,0,0,0,1978
Colts,191,3125,16.4,29,0,0,91T,0,0,0,0,1978
Oilers,240,3125,13,17,0,0,58T,0,0,0,0,1978
Packers,254,2910,11.5,16,0,0,53,0,0,0,0,1978
Lions,191,2781,14.6,19,0,0,61,0,0,0,0,1978
Broncos,246,2712,11,9,0,0,75T,0,0,0,0,1978
Cowboys,202,2730,13.5,11,0,0,51,0,0,0,0,1978
Browns,265,3435,13,20,0,0,72T,0,0,0,0,1978
Bengals,193,2520,13.1,14,0,0,53,0,0,0,0,1978
Bears,239,2857,12,16,0,0,58T,0,0,0,0,1978
Bills,167,2156,12.9,20,0,0,52,0,0,0,0,1978
Falcons,215,2789,13,11,0,0,71T,0,0,0,0,1978
Redskins,234,3339,14.3,18,0,0,65T,0,0,0,0,1979
Buccaneers,250,2405,9.6,14,0,0,67T,0,0,0,0,1979
Seahawks,317,3739,11.8,21,0,0,51,0,0,0,0,1979
49ers,262,3407,13,25,0,0,85,0,0,0,0,1979
Chargers,261,2881,11,11,0,0,84T,0,0,0,0,1979
Steelers,226,2912,12.9,19,0,0,64T,0,0,0,0,1979
Cardinals,258,3067,11.9,22,0,0,46,0,0,0,0,1979
Eagles,243,2798,11.5,18,0,0,78T,0,0,0,0,1979
Jets,339,4288,12.6,31,0,0,75T,0,0,0,0,1979
Giants,253,3154,12.5,22,0,0,53T,0,0,0,0,1979
Saints,265,3457,13,24,0,0,66T,0,0,0,0,1979
Patriots,246,3065,12.5,13,0,0,82,0,0,0,0,1979
Vikings,229,2965,12.9,14,0,0,56T,0,0,0,0,1979
Dolphins,230,3051,13.3,17,0,0,78T,0,0,0,0,1979
Raiders,247,3366,13.6,21,0,0,65T,0,0,0,0,1979
Rams,220,3007,13.7,24,0,0,68T,0,0,0,0,1979
Chiefs,296,3404,11.5,22,0,0,56,0,0,0,0,1979
Colts,203,3080,15.2,23,0,0,74,0,0,0,0,1979
Oilers,242,3186,13.2,18,0,0,56T,0,0,0,0,1979
Packers,249,3041,12.2,21,0,0,50T,0,0,0,0,1979
Lions,220,2787,12.7,15,0,0,66T,0,0,0,0,1979
Broncos,296,3321,11.2,11,0,0,65,0,0,0,0,1979
Cowboys,207,2833,13.7,21,0,0,64T,0,0,0,0,1979
Browns,271,3289,12.1,14,0,0,62,0,0,0,0,1979
Bengals,275,3908,14.2,27,0,0,59,0,0,0,0,1979
Bears,222,2908,13.1,21,0,0,55T,0,0,0,0,1979
Bills,193,2713,14.1,14,0,0,73T,0,0,0,0,1979
Falcons,268,3799,14.2,17,0,0,64,0,0,0,0,1979
Redskins,187,2504,13.4,17,0,0,54T,0,0,0,0,1980
Buccaneers,328,3477,10.6,17,0,0,50,0,0,0,0,1980
Seahawks,267,3280,12.3,28,0,0,68T,0,0,0,0,1980
49ers,327,3958,12.1,29,0,0,81T,0,0,0,0,1980
Chargers,300,3324,11.1,18,0,0,61,0,0,0,0,1980
Steelers,280,3517,12.6,25,0,0,69T,0,0,0,0,1980
Cardinals,287,3616,12.6,23,0,0,58T,0,0,0,0,1980
Eagles,265,3180,12,16,0,0,86T,0,0,0,0,1980
Jets,337,3899,11.6,27,0,0,68T,0,0,0,0,1980
Giants,255,3469,13.6,22,0,0,66T,0,0,0,0,1980
Saints,255,3341,13.1,31,0,0,71T,0,0,0,0,1980
Patriots,266,3232,12.2,28,0,0,79T,0,0,0,0,1980
Vikings,283,3644,12.9,24,0,0,89T,0,0,0,0,1980
Dolphins,290,3439,11.9,21,0,0,61,0,0,0,0,1980
Raiders,296,3731,12.6,17,0,0,67T,0,0,0,0,1980
Rams,245,3097,12.6,23,0,0,60,0,0,0,0,1980
Chiefs,278,3393,12.2,25,0,0,63,0,0,0,0,1980
Colts,260,3576,13.8,21,0,0,77,0,0,0,0,1980
Oilers,246,3053,12.4,16,0,0,50T,0,0,0,0,1980
Packers,259,3617,14,19,0,0,87T,0,0,0,0,1980
Lions,256,3234,12.6,14,0,0,67T,0,0,0,0,1980
Broncos,270,3449,12.8,20,0,0,56T,0,0,0,0,1980
Cowboys,231,3568,15.4,21,0,0,69T,0,0,0,0,1980
Browns,336,4089,12.2,23,0,0,72,0,0,0,0,1980
Bengals,284,3426,12.1,22,0,0,68T,0,0,0,0,1980
Bears,238,3271,13.7,20,0,0,76T,0,0,0,0,1980
Bills,240,2561,10.7,15,0,0,56,0,0,0,0,1980
Falcons,333,3990,12,24,0,0,93T,0,0,0,0,1980
Redskins,214,3310,15.5,21,0,0,58T,0,0,0,0,1981
Buccaneers,317,3297,10.4,10,0,0,59,0,0,0,0,1981
Seahawks,294,3394,11.5,25,0,0,90T,0,0,0,0,1981
49ers,273,3135,11.5,16,0,0,67,0,0,0,0,1981
Chargers,313,4695,15,22,0,0,93T,0,0,0,0,1981
Steelers,302,4108,13.6,22,0,0,73T,0,0,0,0,1981
Cardinals,282,3547,12.6,29,0,0,79T,0,0,0,0,1981
Eagles,248,3050,12.3,12,0,0,50T,0,0,0,0,1981
Jets,275,3522,12.8,15,0,0,70T,0,0,0,0,1981
Giants,294,3318,11.3,14,0,0,57,0,0,0,0,1981
Saints,287,3578,12.5,26,0,0,60T,0,0,0,0,1981
Patriots,243,3052,12.6,18,0,0,55,0,0,0,0,1981
Vikings,265,3599,13.6,26,0,0,72T,0,0,0,0,1981
Dolphins,297,3645,12.3,23,0,0,76T,0,0,0,0,1981
Raiders,289,4011,13.9,24,0,0,77T,0,0,0,0,1981
Rams,204,3057,15,17,0,0,64,0,0,0,0,1981
Chiefs,291,3821,13.1,16,0,0,86,0,0,0,0,1981
Colts,301,4228,14,37,0,0,75,0,0,0,0,1981
Oilers,295,3554,12,22,0,0,67T,0,0,0,0,1981
Packers,284,3353,11.8,18,0,0,50T,0,0,0,0,1981
Lions,261,3596,13.8,22,0,0,95T,0,0,0,0,1981
Broncos,267,3168,11.9,13,0,0,65T,0,0,0,0,1981
Cowboys,236,3717,15.8,17,0,0,85T,0,0,0,0,1981
Browns,275,3512,12.8,28,0,0,60T,0,0,0,0,1981
Bengals,316,3757,11.9,24,0,0,65T,0,0,0,0,1981
Bears,233,3527,15.1,23,0,0,94T,0,0,0,0,1981
Bills,267,3243,12.1,21,0,0,73T,0,0,0,0,1981
Falcons,322,3927,12.2,30,0,0,80,0,0,0,0,1981
Redskins,146,1870,12.8,8,0,0,62T,0,0,0,0,1982
Buccaneers,145,1608,11.1,10,0,0,49,0,0,0,0,1982
Seahawks,138,1468,10.6,4,0,0,56T,0,0,0,0,1982
49ers,158,1949,12.3,14,0,0,46,0,0,0,0,1982
Chargers,233,2437,10.5,10,0,0,49,0,0,0,0,1982
Steelers,176,2385,13.6,12,0,0,75T,0,0,0,0,1982
Cardinals,174,2035,11.7,16,0,0,55,0,0,0,0,1982
Eagles,168,2136,12.7,14,0,0,78T,0,0,0,0,1982
Jets,159,1817,11.4,10,0,0,48T,0,0,0,0,1982
Giants,148,1810,12.2,10,0,0,57,0,0,0,0,1982
Saints,149,1864,12.5,11,0,0,58T,0,0,0,0,1982
Patriots,142,1691,11.9,9,0,0,46T,0,0,0,0,1982
Vikings,157,2106,13.4,11,0,0,70T,0,0,0,0,1982
Dolphins,119,1281,10.8,7,0,0,53T,0,0,0,0,1982
Raiders,193,2617,13.6,11,0,0,50,0,0,0,0,1982
Rams,175,2290,13.1,16,0,0,52,0,0,0,0,1982
Chiefs,155,1787,11.5,12,0,0,74T,0,0,0,0,1982
Colts,138,1920,13.9,18,0,0,55,0,0,0,0,1982
Oilers,179,2453,13.7,18,0,0,62T,0,0,0,0,1982
Packers,177,1950,11,9,0,0,44,0,0,0,0,1982
Lions,155,2098,13.5,11,0,0,85T,0,0,0,0,1982
Broncos,172,2350,13.7,14,0,0,86T,0,0,0,0,1982
Cowboys,152,2002,13.2,10,0,0,54T,0,0,0,0,1982
Browns,144,1967,13.7,9,0,0,60,0,0,0,0,1982
Bengals,187,2250,12,12,0,0,66T,0,0,0,0,1982
Bears,164,2189,13.3,14,0,0,65,0,0,0,0,1982
Bills,114,1382,12.1,8,0,0,45,0,0,0,0,1982
Falcons,157,1945,12.4,12,0,0,80T,0,0,0,0,1982
Redskins,301,4377,14.5,28,0,0,99T,0,0,0,0,1983
Buccaneers,300,3624,12.1,15,0,0,80T,0,0,0,0,1983
Seahawks,311,4182,13.4,33,0,0,78T,0,0,0,0,1983
49ers,322,3701,11.5,23,0,0,76T,0,0,0,0,1983
Chargers,330,4051,12.3,28,0,0,71T,0,0,0,0,1983
Steelers,238,3260,13.7,19,0,0,76T,0,0,0,0,1983
Cardinals,290,3635,12.5,24,0,0,69T,0,0,0,0,1983
Eagles,247,3048,12.3,20,0,0,75T,0,0,0,0,1983
Jets,269,3301,12.3,22,0,0,66T,0,0,0,0,1983
Giants,283,3584,12.7,26,0,0,61T,0,0,0,0,1983
Saints,271,3128,11.5,20,0,0,60,0,0,0,0,1983
Patriots,277,3565,12.9,19,0,0,68T,0,0,0,0,1983
Vikings,263,3229,12.3,23,0,0,74T,0,0,0,0,1983
Dolphins,277,3365,12.1,19,0,0,80T,0,0,0,0,1983
Raiders,282,3646,12.9,20,0,0,67,0,0,0,0,1983
Rams,319,3869,12.1,18,0,0,48,0,0,0,0,1983
Chiefs,261,3361,12.9,21,0,0,58,0,0,0,0,1983
Colts,281,3832,13.6,31,0,0,85T,0,0,0,0,1983
Oilers,252,3095,12.3,26,0,0,74T,0,0,0,0,1983
Packers,300,4033,13.4,20,0,0,87T,0,0,0,0,1983
Lions,297,3401,11.5,21,0,0,84,0,0,0,0,1983
Broncos,307,3988,13,18,0,0,72T,0,0,0,0,1983
Cowboys,299,4365,14.6,27,0,0,83T,0,0,0,0,1983
Browns,280,3316,11.8,22,0,0,80T,0,0,0,0,1983
Bengals,288,3163,11,17,0,0,53,0,0,0,0,1983
Bears,249,3516,14.1,15,0,0,74,0,0,0,0,1983
Bills,286,3553,12.4,22,0,0,72T,0,0,0,0,1983
Falcons,313,3734,11.9,28,0,0,61T,0,0,0,0,1983
Redskins,318,4301,13.5,25,0,0,83T,0,0,0,0,1984
Buccaneers,286,3480,12.2,20,0,0,77T,0,0,0,0,1984
Seahawks,265,3572,13.5,18,0,0,92,0,0,0,0,1984
49ers,298,3744,12.6,14,0,0,61,0,0,0,0,1984
Chargers,323,4303,13.3,27,0,0,75T,0,0,0,0,1984
Steelers,299,3689,12.3,19,0,0,68,0,0,0,0,1984
Cardinals,251,3574,14.2,26,0,0,90T,0,0,0,0,1984
Eagles,262,3506,13.4,22,0,0,68,0,0,0,0,1984
Jets,312,3862,12.4,24,0,0,80T,0,0,0,0,1984
Giants,288,3736,13,20,0,0,83T,0,0,0,0,1984
Saints,239,2873,12,23,0,0,50T,0,0,0,0,1984
Patriots,283,3666,13,25,0,0,68T,0,0,0,0,1984
Vikings,319,3954,12.4,35,0,0,68T,0,0,0,0,1984
Dolphins,310,3604,11.6,22,0,0,76T,0,0,0,0,1984
Raiders,254,3268,12.9,19,0,0,70T,0,0,0,0,1984
Rams,346,3964,11.5,18,0,0,64T,0,0,0,0,1984
Chiefs,332,4009,12.1,19,0,0,80T,0,0,0,0,1984
Colts,298,3890,13.1,31,0,0,80T,0,0,0,0,1984
Oilers,271,3446,12.7,23,0,0,80T,0,0,0,0,1984
Packers,315,3470,11,16,0,0,50,0,0,0,0,1984
Lions,288,3782,13.1,27,0,0,73T,0,0,0,0,1984
Broncos,346,4453,12.9,16,0,0,80T,0,0,0,0,1984
Cowboys,250,3200,12.8,23,0,0,80T,0,0,0,0,1984
Browns,261,3049,11.7,15,0,0,61T,0,0,0,0,1984
Bengals,302,3689,12.2,15,0,0,76,0,0,0,0,1984
Bears,198,3069,15.5,14,0,0,88T,0,0,0,0,1984
Bills,300,3667,12.2,32,0,0,65T,0,0,0,0,1984
Falcons,262,3413,13,27,0,0,64T,0,0,0,0,1984
Redskins,239,3124,13.1,19,0,0,69,0,0,0,0,1985
Buccaneers,318,3955,12.4,18,0,0,78T,0,0,0,0,1985
Seahawks,273,3787,13.9,22,0,0,71,0,0,0,0,1985
49ers,346,3965,11.5,11,0,0,82T,0,0,0,0,1985
Chargers,357,4597,12.9,28,0,0,84T,0,0,0,0,1985
Steelers,287,3088,10.8,18,0,0,75T,0,0,0,0,1985
Cardinals,253,3257,12.9,34,0,0,53T,0,0,0,0,1985
Eagles,251,3289,13.1,18,0,0,46,0,0,0,0,1985
Jets,267,3626,13.6,17,0,0,72T,0,0,0,0,1985
Giants,278,3377,12.1,20,0,0,58T,0,0,0,0,1985
Saints,306,3975,13,26,0,0,65T,0,0,0,0,1985
Patriots,262,3393,13,14,0,0,88T,0,0,0,0,1985
Vikings,280,3464,12.4,20,0,0,70T,0,0,0,0,1985
Dolphins,257,3789,14.7,21,0,0,80T,0,0,0,0,1985
Raiders,251,3486,13.9,22,0,0,62T,0,0,0,0,1985
Rams,296,3483,11.8,19,0,0,73,0,0,0,0,1985
Chiefs,332,3752,11.3,22,0,0,56T,0,0,0,0,1985
Colts,275,3721,13.5,24,0,0,59,0,0,0,0,1985
Oilers,260,3654,14.1,29,0,0,68T,0,0,0,0,1985
Packers,295,3509,11.9,22,0,0,61T,0,0,0,0,1985
Lions,283,3242,11.5,16,0,0,50,0,0,0,0,1985
Broncos,277,3584,12.9,22,0,0,73,0,0,0,0,1985
Cowboys,279,4214,15.1,20,0,0,70T,0,0,0,0,1985
Browns,289,3460,12,18,0,0,54T,0,0,0,0,1985
Bengals,297,3998,13.5,26,0,0,72T,0,0,0,0,1985
Bears,249,3299,13.2,16,0,0,90T,0,0,0,0,1985
Bills,265,3301,12.5,24,0,0,96T,0,0,0,0,1985
Falcons,289,4129,14.3,32,0,0,99T,0,0,0,0,1985
Redskins,302,3916,13,21,0,0,76T,0,0,0,0,1986
Buccaneers,289,3838,13.3,23,0,0,73,0,0,0,0,1986
Seahawks,301,3888,12.9,20,0,0,83T,0,0,0,0,1986
49ers,324,3773,11.6,18,0,0,84T,0,0,0,0,1986
Chargers,288,4128,14.3,27,0,0,72T,0,0,0,0,1986
Steelers,311,3669,11.8,22,0,0,55T,0,0,0,0,1986
Cardinals,215,2992,13.9,21,0,0,51,0,0,0,0,1986
Eagles,260,3641,14,21,0,0,84T,0,0,0,0,1986
Jets,348,4567,13.1,35,0,0,69T,0,0,0,0,1986
Giants,334,3887,11.6,15,0,0,75T,0,0,0,0,1986
Saints,331,3886,11.7,21,0,0,62T,0,0,0,0,1986
Patriots,255,3324,13,15,0,0,67T,0,0,0,0,1986
Vikings,276,3475,12.6,16,0,0,59,0,0,0,0,1986
Dolphins,290,3825,13.2,22,0,0,65T,0,0,0,0,1986
Raiders,271,3539,13.1,21,0,0,68T,0,0,0,0,1986
Rams,313,3482,11.1,17,0,0,69T,0,0,0,0,1986
Chiefs,303,3555,11.7,21,0,0,51,0,0,0,0,1986
Colts,306,3933,12.9,28,0,0,72T,0,0,0,0,1986
Oilers,228,3200,14,25,0,0,85T,0,0,0,0,1986
Packers,267,3142,11.8,31,0,0,84,0,0,0,0,1986
Lions,279,3090,11.1,14,0,0,81T,0,0,0,0,1986
Broncos,301,3755,12.5,21,0,0,57T,0,0,0,0,1986
Cowboys,226,3149,13.9,21,0,0,71T,0,0,0,0,1986
Browns,291,3546,12.2,21,0,0,75T,0,0,0,0,1986
Bengals,278,3520,12.7,17,0,0,84T,0,0,0,0,1986
Bears,243,3170,13,12,0,0,65T,0,0,0,0,1986
Bills,343,4069,11.9,21,0,0,71T,0,0,0,0,1986
Falcons,241,3169,13.1,19,0,0,85,0,0,0,0,1986
Redskins,276,3767,13.6,19,0,0,59T,0,0,0,0,1987
Buccaneers,271,3255,12,23,0,0,67,0,0,0,0,1987
Seahawks,255,3196,12.5,20,0,0,81T,0,0,0,0,1987
49ers,224,2771,12.4,13,0,0,63T,0,0,0,0,1987
Chargers,227,3080,13.6,19,0,0,63T,0,0,0,0,1987
Steelers,290,3506,12.1,22,0,0,52T,0,0,0,0,1987
Cardinals,276,3668,13.3,30,0,0,88T,0,0,0,0,1987
Eagles,305,4058,13.3,29,0,0,77T,0,0,0,0,1987
Jets,260,3412,13.1,27,0,0,57,0,0,0,0,1987
Giants,292,3272,11.2,17,0,0,64T,0,0,0,0,1987
Saints,246,3155,12.8,25,0,0,50T,0,0,0,0,1987
Patriots,273,3438,12.6,17,0,0,61T,0,0,0,0,1987
Vikings,278,3407,12.3,24,0,0,64T,0,0,0,0,1987
Dolphins,295,3430,11.6,21,0,0,55,0,0,0,0,1987
Raiders,224,3088,13.8,18,0,0,67T,0,0,0,0,1987
Rams,281,3693,13.1,31,0,0,82T,0,0,0,0,1987
Chiefs,279,3473,12.4,25,0,0,44,0,0,0,0,1987
Colts,250,3073,12.3,19,0,0,61T,0,0,0,0,1987
Oilers,266,3416,12.8,25,0,0,72T,0,0,0,0,1987
Packers,279,3200,11.5,14,0,0,63T,0,0,0,0,1987
Lions,259,3558,13.7,23,0,0,81T,0,0,0,0,1987
Broncos,261,3040,11.6,15,0,0,51T,0,0,0,0,1987
Cowboys,269,3781,14.1,21,0,0,62T,0,0,0,0,1987
Browns,246,3088,12.6,15,0,0,83T,0,0,0,0,1987
Bengals,267,3359,12.6,24,0,0,53,0,0,0,0,1987
Bears,255,3286,12.9,24,0,0,75T,0,0,0,0,1987
Bills,249,3121,12.5,25,0,0,55T,0,0,0,0,1987
Falcons,243,3291,13.5,26,0,0,57,0,0,0,0,1987
Redskins,261,3744,14.3,24,0,0,80T,0,0,0,0,1988
Buccaneers,304,3744,12.3,19,0,0,56,0,0,0,0,1988
Seahawks,280,3618,12.9,21,0,0,69T,0,0,0,0,1988
49ers,292,3284,11.2,25,0,0,67T,0,0,0,0,1988
Chargers,274,3525,12.9,22,0,0,96T,0,0,0,0,1988
Steelers,309,4086,13.2,25,0,0,86T,0,0,0,0,1988
Cardinals,264,3539,13.4,30,0,0,61T,0,0,0,0,1988
Eagles,309,4443,14.4,23,0,0,93T,0,0,0,0,1988
Jets,244,3823,15.7,28,0,0,80T,0,0,0,0,1988
Giants,294,3755,12.8,23,0,0,80T,0,0,0,0,1988
Saints,277,3579,12.9,19,0,0,85T,0,0,0,0,1988
Patriots,234,2801,12,13,0,0,51T,0,0,0,0,1988
Vikings,219,2763,12.6,12,0,0,76T,0,0,0,0,1988
Dolphins,298,3442,11.6,19,0,0,47,0,0,0,0,1988
Raiders,265,3471,13.1,23,0,0,86,0,0,0,0,1988
Rams,307,3694,12,17,0,0,59,0,0,0,0,1988
Chiefs,214,2591,12.1,12,0,0,42T,0,0,0,0,1988
Colts,321,3803,11.8,21,0,0,58,0,0,0,0,1988
Oilers,281,3619,12.9,22,0,0,80T,0,0,0,0,1988
Packers,256,2949,11.5,12,0,0,46T,0,0,0,0,1988
Lions,337,3672,10.9,17,0,0,51T,0,0,0,0,1988
Broncos,262,3168,12.1,18,0,0,55,0,0,0,0,1988
Cowboys,264,3883,14.7,30,0,0,73T,0,0,0,0,1988
