Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,PDef,Year
Dolphins,368,4101,11.1,30,48,9,77T,199,54.1,6,73,2016
Raiders,328,4267,13,27,61,16,98T,188,57.3,5,70,2016
Rams,378,3928,10.4,32,41,6,64T,194,51.3,5,72,2016
Chiefs,350,4120,11.8,23,47,7,76T,209,59.7,6,100,2016
Jaguars,345,3627,10.5,20,40,12,64T,174,50.4,1,53,2016
Colts,378,4411,11.7,27,55,8,49,225,59.5,6,60,2016
Texans,319,3424,10.7,20,38,6,86T,157,49.2,2,68,2016
Titans,388,4585,11.8,25,56,12,58,227,58.5,1,75,2016
Packers,370,4603,12.4,32,58,11,73T,227,61.4,3,85,2016
Lions,399,4136,10.4,33,50,6,64,206,51.6,1,62,2016
Broncos,306,3200,10.5,13,32,4,80T,169,55.2,5,79,2016
Cowboys,425,4376,10.3,25,45,7,67T,226,53.2,6,64,2016
Browns,347,4173,12,36,52,12,63,220,63.4,1,67,2016
Bengals,374,3985,10.7,22,46,7,74T,196,52.4,3,80,2016
Bears,342,3828,11.2,22,50,8,60,188,55,3,68,2016
Panthers,409,4561,11.2,27,54,11,87T,223,54.5,4,68,2016
Bills,306,3835,12.5,19,46,11,66T,183,59.8,2,73,2016
Ravens,369,3947,10.7,28,50,8,79T,190,51.5,1,66,2016
Falcons,422,4495,10.7,31,53,5,58,232,55,6,87,2016
Redskins,306,3692,12.1,23,54,10,75T,171,55.9,2,87,2017
Buccaneers,371,4306,11.6,22,57,12,61T,202,54.4,5,55,2017
Seahawks,325,3616,11.1,19,44,5,75T,181,55.7,1,77,2017
49ers,344,3943,11.5,27,50,10,72T,198,57.6,5,56,2017
Chargers,329,3417,10.4,17,37,4,87T,153,46.5,3,75,2017
Steelers,297,3610,12.2,20,48,13,75T,157,52.9,5,76,2017
Cardinals,343,3796,11.1,24,44,8,72T,187,54.5,3,72,2017
Eagles,363,3883,10.7,24,40,10,77T,177,48.8,3,87,2017
Jets,329,3904,11.9,30,61,8,79T,191,58.1,5,61,2017
Giants,347,4199,12.1,32,54,13,83T,189,54.5,4,70,2017
Saints,329,3884,11.8,22,57,8,53T,172,52.3,4,99,2017
Patriots,367,4319,11.8,24,49,10,78T,204,55.6,4,65,2017
Vikings,324,3329,10.3,13,35,5,52,168,51.9,1,69,2017
Dolphins,339,3788,11.2,26,57,4,69T,190,56,1,53,2017
Raiders,361,4046,11.2,24,50,13,74,187,51.8,2,55,2017
Rams,324,3799,11.7,21,54,6,65T,181,55.9,3,94,2017
Chiefs,325,4131,12.7,23,53,14,69,204,62.8,6,85,2017
Jaguars,289,3074,10.6,17,40,12,74T,143,49.5,1,77,2017
Colts,320,4123,12.9,23,64,11,67,192,60,4,68,2017
Texans,321,3999,12.5,30,53,17,94T,176,54.8,2,57,2017
Titans,369,4100,11.1,27,37,7,80T,231,62.6,5,71,2017
Packers,348,4041,11.6,30,55,8,71T,211,60.6,3,62,2017
Lions,366,4120,11.3,21,45,8,97T,205,56,5,77,2017
Broncos,294,3385,11.5,29,47,6,64T,166,56.5,3,62,2017
Cowboys,371,3746,10.1,28,43,6,56T,181,48.8,3,60,2017
Browns,360,3881,10.8,28,48,7,61T,189,52.5,7,70,2017
Bengals,336,3657,10.9,20,45,8,72,173,51.5,1,72,2017
Bears,343,3653,10.7,18,36,8,88T,180,52.5,4,65,2017
Panthers,351,3969,11.3,25,49,8,70,187,53.3,4,54,2017
Bills,370,3844,10.4,14,42,3,77T,199,53.8,7,81,2017
Ravens,333,3701,11.1,18,48,7,57,179,53.8,4,80,2017
Falcons,362,3725,10.3,22,43,4,54T,197,54.4,0,65,2017
Redskins,362,4091,11.3,27,52,9,90T,197,54.4,9,56,2018
Buccaneers,387,4383,11.3,34,56,6,75T,209,54,4,54,2018
Seahawks,355,4103,11.6,26,58,8,75T,201,56.6,5,60,2018
49ers,344,3959,11.5,35,49,9,75T,195,56.7,4,37,2018
Chargers,351,3886,11.1,23,52,9,82T,178,50.7,3,72,2018
Steelers,362,4044,11.2,27,53,7,71,200,55.2,2,67,2018
Cardinals,342,3595,10.5,21,37,5,64T,186,54.4,5,51,2018
Eagles,417,4619,11.1,22,60,6,75T,215,51.6,3,65,2018
Jets,367,4358,11.9,29,58,11,70T,201,54.8,3,72,2018
Giants,362,4229,11.7,24,61,8,79T,205,56.6,4,73,2018
Saints,384,4623,12,30,57,14,75T,224,58.3,9,67,2018
Patriots,370,4181,11.3,29,57,9,75T,208,56.2,5,64,2018
Vikings,315,3501,11.1,15,43,10,70T,160,50.8,1,62,2018
Dolphins,335,4141,12.4,31,59,11,73T,195,58.2,7,58,2018
Raiders,299,3933,13.2,36,59,15,89T,178,59.5,1,67,2018
Rams,347,4106,11.8,31,59,14,73T,185,53.3,2,65,2018
