Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,Sck,SckY,Year,Att_Rush,Rush Yds,YPC,Rush_TD,Rush 1st,Rush 1st%,Rush FUM,Yds/Rec,Rec_TD,Rec FUM,Scrm Plys,3rd_Conv%,4th Conv%,W,L,T,Win pct
Giants,472,260,55.1,7.4,3500,22,22,75.0,0,0.0,46,367,1986,558,2245,4.0,18,0,0.0,0,13.5,22,0,1076,,,14,2,0,0.875
Saints,425,232,54.6,6.8,2893,13,25,61.6,0,0.0,27,225,1986,505,2074,4.1,15,0,0.0,0,12.5,13,0,957,,,7,9,0,0.4375
Patriots,557,340,61.0,7.8,4321,29,13,92.9,0,0.0,47,367,1986,469,1373,2.9,10,0,0.0,0,12.7,29,0,1073,,,11,5,0,0.6875
Vikings,519,290,55.9,8.1,4185,31,15,90.1,0,0.0,44,272,1986,461,1738,3.8,14,0,0.0,0,14.4,31,0,1024,,,9,7,0,0.5625
Dolphins,645,392,60.8,7.6,4898,46,23,93.3,0,0.0,17,119,1986,349,1545,4.4,9,0,0.0,0,12.5,46,0,1011,,,8,8,0,0.5
Raiders,530,281,53.0,7.5,3973,27,25,74.8,0,0.0,64,464,1986,475,1790,3.8,6,0,0.0,0,14.1,27,0,1069,,,8,8,0,0.5
Rams,403,194,48.1,5.9,2380,15,15,63.7,0,0.0,27,184,1986,578,2457,4.3,16,0,0.0,0,12.3,15,0,1008,,,10,6,0,0.625
Chiefs,521,257,49.3,6.0,3122,23,18,68.5,0,0.0,50,372,1986,432,1468,3.4,10,0,0.0,0,12.1,23,0,1003,,,10,6,0,0.625
Colts,586,300,51.2,6.2,3615,16,24,62.5,0,0.0,53,406,1986,407,1491,3.7,10,0,0.0,0,12.1,16,0,1046,,,3,13,0,0.1875
Oilers,551,288,52.3,7.0,3843,14,31,59.7,0,0.0,48,394,1986,490,1700,3.5,13,0,0.0,0,13.3,14,0,1089,,,5,11,0,0.3125
Packers,565,305,54.0,6.6,3708,18,27,65.1,0,0.0,37,261,1986,424,1614,3.8,8,0,0.0,0,12.2,18,0,1026,,,4,12,0,0.25
Lions,500,286,57.2,6.2,3107,18,20,71.0,0,0.0,39,323,1986,470,1771,3.8,13,0,0.0,0,10.9,18,0,1009,,,5,11,0,0.3125
Broncos,549,306,55.7,6.9,3811,22,16,78.7,0,0.0,38,273,1986,455,1678,3.7,17,0,0.0,0,12.5,22,0,1042,,,11,5,0,0.6875
Cowboys,547,319,58.3,7.3,4003,21,24,75.7,0,0.0,60,498,1986,447,1969,4.4,21,0,0.0,0,12.5,21,0,1054,,,7,9,0,0.4375
Browns,538,315,58.6,7.5,4018,18,11,84.6,0,0.0,39,274,1986,470,1650,3.5,20,0,0.0,0,12.8,18,0,1047,,,12,4,0,0.75
Bengals,497,287,57.7,8.4,4160,25,20,85.1,0,0.0,28,203,1986,521,2533,4.9,24,0,0.0,0,14.5,25,0,1046,,,10,6,0,0.625
Bears,415,208,50.1,7.0,2912,12,25,57.6,0,0.0,24,153,1986,606,2700,4.5,21,0,0.0,0,14.0,12,0,1045,,,14,2,0,0.875
Bills,499,294,58.9,7.4,3697,22,19,80.9,0,0.0,45,334,1986,419,1654,3.9,9,0,0.0,0,12.6,22,0,963,,,4,12,0,0.25
Falcons,452,246,54.4,6.7,3046,14,17,70.2,0,0.0,56,464,1986,578,2524,4.4,12,0,0.0,0,12.4,14,0,1086,,,7,8,1,0.46875
Redskins,478,247,51.7,7.8,3718,27,18,80.7,0,0.0,27,223,1987,500,2102,4.2,18,0,0.0,0,15.1,27,0,1005,,,11,4,0,0.7333333333333333
Buccaneers,517,264,51.1,6.5,3377,22,17,72.3,0,0.0,43,361,1987,394,1365,3.5,7,0,0.0,0,12.8,22,0,954,,,4,11,0,0.26666666666666666
Seahawks,405,237,58.5,7.5,3028,31,21,85.9,0,0.0,36,316,1987,496,2023,4.1,13,0,0.0,0,12.8,31,0,937,,,9,6,0,0.6
49ers,501,322,64.3,7.9,3955,44,14,106.2,0,0.0,29,205,1987,524,2237,4.3,11,0,0.0,0,12.3,44,0,1054,,,13,2,0,0.8666666666666667
Chargers,516,303,58.7,7.0,3602,13,23,69.9,0,0.0,39,322,1987,396,1308,3.3,11,0,0.0,0,11.9,13,0,951,,,8,7,0,0.5333333333333333
Steelers,429,198,46.2,5.7,2464,13,25,50.3,0,0.0,27,198,1987,517,2144,4.1,11,0,0.0,0,12.4,13,0,973,,,8,7,0,0.5333333333333333
Cardinals,529,305,57.7,7.3,3850,25,15,84.4,0,0.0,54,397,1987,462,1873,4.1,15,0,0.0,0,12.6,25,0,1045,,,7,8,0,0.4666666666666667
Eagles,520,283,54.4,6.8,3561,26,16,79.8,0,0.0,72,511,1987,509,2027,4.0,12,0,0.0,0,12.6,26,0,1101,,,7,8,0,0.4666666666666667
Jets,517,302,58.4,6.6,3402,18,15,77.7,0,0.0,66,443,1987,458,1671,3.6,17,0,0.0,0,11.3,18,0,1041,,,6,9,0,0.4
Giants,499,265,53.1,7.3,3645,26,22,75.8,0,0.0,61,443,1987,440,1457,3.3,4,0,0.0,0,13.8,26,0,1000,,,6,9,0,0.4
Saints,411,227,55.2,7.3,2987,23,12,84.9,0,0.0,29,213,1987,569,2190,3.8,20,0,0.0,0,13.2,23,0,1009,,,12,3,0,0.8
Patriots,440,236,53.6,6.7,2929,22,18,74.1,0,0.0,33,246,1987,513,1771,3.5,12,0,0.0,0,12.4,22,0,986,,,8,7,0,0.5333333333333333
Vikings,446,232,52.0,7.1,3185,21,23,69.4,0,0.0,52,359,1987,482,1983,4.1,20,0,0.0,0,13.7,21,0,980,,,8,7,0,0.5333333333333333
Dolphins,584,338,57.9,6.8,3977,29,20,81.0,0,0.0,13,101,1987,408,1662,4.1,16,0,0.0,0,11.8,29,0,1005,,,8,7,0,0.5333333333333333
Raiders,457,247,54.0,7.5,3429,19,18,75.8,0,0.0,53,359,1987,475,2197,4.6,13,0,0.0,0,13.9,19,0,985,,,5,10,0,0.3333333333333333
Rams,420,220,52.4,6.5,2750,16,18,67.9,0,0.0,25,196,1987,512,2097,4.1,15,0,0.0,0,12.5,16,0,957,,,6,9,0,0.4
Chiefs,432,236,54.6,6.9,2985,17,17,73.1,0,0.0,48,366,1987,419,1799,4.3,7,0,0.0,0,12.6,17,0,899,,,4,11,0,0.26666666666666666
Colts,447,255,57.0,6.8,3042,16,16,75.0,0,0.0,24,190,1987,497,2143,4.3,14,0,0.0,0,11.9,16,0,968,,,9,6,0,0.6
Oilers,482,240,49.8,7.3,3534,24,23,70.8,0,0.0,30,234,1987,486,1923,4.0,12,0,0.0,0,14.7,24,0,998,,,9,6,0,0.6
Packers,455,234,51.4,6.5,2977,15,17,67.6,0,0.0,45,296,1987,464,1801,3.9,13,0,0.0,0,12.7,15,0,964,,,5,9,1,0.36666666666666664
Lions,509,275,54.0,6.2,3150,16,26,62.1,0,0.0,26,194,1987,398,1435,3.6,9,0,0.0,0,11.5,16,0,933,,,4,11,0,0.26666666666666666
Broncos,530,285,53.8,7.3,3874,24,19,77.5,0,0.0,30,220,1987,510,1970,3.9,18,0,0.0,0,13.6,24,0,1070,,,10,4,1,0.7
Cowboys,500,288,57.6,7.2,3594,19,20,76.0,0,0.0,52,403,1987,465,1865,4.0,17,0,0.0,0,12.5,19,0,1017,,,7,8,0,0.4666666666666667
Browns,482,291,60.4,7.5,3625,27,12,92.0,0,0.0,29,170,1987,474,1745,3.7,16,0,0.0,0,12.5,27,0,985,,,10,5,0,0.6666666666666666
Bengals,475,255,53.7,7.3,3468,17,20,71.6,0,0.0,32,255,1987,538,2164,4.0,13,0,0.0,0,13.6,17,0,1045,,,4,11,0,0.26666666666666666
Bears,493,272,55.2,6.9,3420,23,24,72.2,0,0.0,48,330,1987,485,1954,4.0,13,0,0.0,0,12.6,23,0,1026,,,11,4,0,0.7333333333333333
Bills,516,292,56.6,6.3,3246,21,19,73.7,0,0.0,37,345,1987,465,1840,4.0,9,0,0.0,0,11.1,21,0,1018,,,7,8,0,0.4666666666666667
Falcons,501,247,49.3,6.2,3108,17,32,53.7,0,0.0,46,340,1987,333,1298,3.9,5,0,0.0,0,12.6,17,0,880,,,3,12,0,0.2
Redskins,592,327,55.2,7.3,4339,33,25,79.6,0,0.0,24,203,1988,437,1543,3.5,8,0,0.0,0,13.3,33,0,1053,,,7,9,0,0.4375
Buccaneers,512,253,49.4,7.0,3608,16,36,53.7,0,0.0,34,300,1988,452,1753,3.9,11,0,0.0,0,14.3,16,0,998,,,5,11,0,0.3125
Seahawks,437,245,56.1,6.8,2979,22,20,74.9,0,0.0,29,223,1988,517,2086,4.0,14,0,0.0,0,12.2,22,0,983,,,9,7,0,0.5625
49ers,502,293,58.4,7.3,3675,21,14,83.5,0,0.0,47,298,1988,527,2523,4.8,18,0,0.0,0,12.5,21,0,1076,,,10,6,0,0.625
Chargers,468,241,51.5,5.6,2628,11,20,58.4,0,0.0,31,240,1988,438,2041,4.7,11,0,0.0,0,10.9,11,0,937,,,6,10,0,0.375
Steelers,489,226,46.2,6.8,3307,15,20,62.0,0,0.0,42,331,1988,499,2228,4.5,17,0,0.0,0,14.6,15,0,1030,,,5,11,0,0.3125
Cardinals,562,322,57.3,7.5,4191,26,19,82.2,0,0.0,60,411,1988,480,2027,4.2,15,0,0.0,0,13.0,26,0,1102,,,7,9,0,0.4375
Eagles,581,309,53.2,6.8,3927,25,17,76.7,0,0.0,57,442,1988,464,1945,4.2,17,0,0.0,0,12.7,25,0,1102,,,10,6,0,0.625
Jets,538,299,55.6,6.3,3374,20,11,78.4,0,0.0,42,291,1988,514,2132,4.1,19,0,0.0,0,11.3,20,0,1094,,,8,7,1,0.53125
Giants,525,290,55.2,7.1,3716,22,14,80.5,0,0.0,60,450,1988,493,1689,3.4,15,0,0.0,0,12.8,22,0,1078,,,10,6,0,0.625
Saints,498,286,57.4,6.5,3256,21,16,77.9,0,0.0,24,171,1988,512,2046,4.0,9,0,0.0,0,11.4,21,0,1034,,,10,6,0,0.625
Patriots,389,199,51.2,6.0,2333,12,28,50.0,0,0.0,23,160,1988,588,2120,3.6,17,0,0.0,0,11.7,12,0,1000,,,9,7,0,0.5625
Vikings,520,294,56.5,7.9,4100,20,18,80.4,0,0.0,47,311,1988,501,1806,3.6,22,0,0.0,0,13.9,20,0,1068,,,11,5,0,0.6875
Dolphins,621,363,58.5,7.3,4557,29,23,81.5,0,0.0,7,41,1988,335,1205,3.6,11,0,0.0,0,12.6,29,0,963,,,6,10,0,0.375
Raiders,496,219,44.2,7.1,3503,21,20,65.6,0,0.0,46,394,1988,493,1852,3.8,15,0,0.0,0,16.0,21,0,1035,,,7,9,0,0.4375
Rams,522,312,59.8,7.7,4002,31,18,89.3,0,0.0,28,197,1988,507,2003,4.0,16,0,0.0,0,12.8,31,0,1057,,,10,6,0,0.625
Chiefs,528,282,53.4,6.6,3484,16,21,67.6,0,0.0,43,353,1988,448,1713,3.8,8,0,0.0,0,12.4,16,0,1019,,,4,11,1,0.28125
Colts,403,222,55.1,7.1,2865,15,22,67.3,0,0.0,34,244,1988,545,2249,4.1,23,0,0.0,0,12.9,15,0,982,,,9,7,0,0.5625
Oilers,428,218,50.9,7.4,3166,21,18,74.2,0,0.0,24,210,1988,558,2249,4.0,26,0,0.0,0,14.5,21,0,1010,,,10,6,0,0.625
Packers,582,319,54.8,6.2,3609,13,24,63.9,0,0.0,51,324,1988,385,1379,3.6,14,0,0.0,0,11.3,13,0,1018,,,4,12,0,0.25
Lions,477,213,44.7,5.4,2572,13,18,55.1,0,0.0,52,410,1988,391,1243,3.2,7,0,0.0,0,12.1,13,0,920,,,4,12,0,0.25
Broncos,581,324,55.8,6.8,3941,24,22,74.8,0,0.0,32,250,1988,464,1815,3.9,13,0,0.0,0,12.2,24,0,1077,,,8,8,0,0.5
Cowboys,555,307,55.3,6.7,3727,21,27,68.5,0,0.0,35,239,1988,469,1995,4.3,10,0,0.0,0,12.1,21,0,1059,,,3,13,0,0.1875
Browns,537,313,58.3,6.9,3686,19,17,77.9,0,0.0,36,250,1988,440,1575,3.6,10,0,0.0,0,11.8,19,0,1013,,,10,6,0,0.625
Bengals,392,225,57.4,9.2,3592,28,14,97.0,0,0.0,30,245,1988,563,2710,4.8,27,0,0.0,0,16.0,28,0,985,,,12,4,0,0.75
Bears,461,248,53.8,6.9,3173,13,15,71.4,0,0.0,24,175,1988,555,2319,4.2,25,0,0.0,0,12.8,13,0,1040,,,12,4,0,0.75
Bills,454,271,59.7,7.5,3411,15,17,78.5,0,0.0,30,229,1988,528,2133,4.0,15,0,0.0,0,12.6,15,0,1012,,,12,4,0,0.75
Falcons,481,250,52.0,6.1,2914,13,19,63.2,0,0.0,43,348,1988,478,2016,4.2,11,0,0.0,0,11.7,13,0,1002,,,5,11,0,0.3125
Redskins,581,337,58.0,7.7,4476,24,17,84.1,0,0.0,21,127,1989,514,1904,3.7,14,0,0.0,0,13.3,24,0,1116,,,10,6,0,0.625
Buccaneers,570,302,53.0,6.4,3666,23,28,66.0,0,0.0,43,331,1989,412,1507,3.7,10,0,0.0,0,12.1,23,0,1025,,,5,11,0,0.3125
Seahawks,559,316,56.5,6.4,3583,21,23,71.3,0,0.0,46,379,1989,405,1392,3.4,5,0,0.0,0,11.3,21,0,1010,,,7,9,0,0.4375
49ers,483,339,70.2,9.5,4584,35,11,114.8,0,0.0,45,282,1989,493,1966,4.0,14,0,0.0,0,13.5,35,0,1021,,,14,2,0,0.875
Chargers,515,270,52.4,6.4,3291,15,19,66.7,0,0.0,39,254,1989,432,1873,4.3,13,0,0.0,0,12.2,15,0,986,,,6,10,0,0.375
Steelers,404,210,52.0,6.6,2662,10,13,67.7,0,0.0,51,484,1989,500,1818,3.6,17,0,0.0,0,12.7,10,0,955,,,9,7,0,0.5625
Cardinals,523,279,53.3,7.0,3659,17,30,62.6,0,0.0,56,379,1989,407,1361,3.3,10,0,0.0,0,13.1,17,0,986,,,5,11,0,0.3125
Eagles,538,294,54.6,6.4,3455,23,16,76.2,0,0.0,45,343,1989,540,2208,4.1,14,0,0.0,0,11.8,23,0,1123,,,11,5,0,0.6875
Jets,570,338,59.3,6.8,3892,14,24,70.6,0,0.0,62,477,1989,400,1596,4.0,11,0,0.0,0,11.5,14,0,1032,,,4,12,0,0.25
Giants,444,248,55.9,7.6,3355,17,16,77.9,0,0.0,46,281,1989,556,1889,3.4,17,0,0.0,0,13.5,17,0,1046,,,12,4,0,0.75
Saints,461,284,61.6,7.9,3651,23,19,85.9,0,0.0,36,271,1989,502,1948,3.9,19,0,0.0,0,12.9,23,0,999,,,9,7,0,0.5625
Patriots,610,302,49.5,6.5,3972,17,27,61.3,0,0.0,34,265,1989,485,1749,3.6,12,0,0.0,0,13.2,17,0,1129,,,5,11,0,0.3125
Vikings,499,272,54.5,6.9,3468,17,19,72.0,0,0.0,40,279,1989,514,2066,4.0,12,0,0.0,0,12.8,17,0,1053,,,10,6,0,0.625
Dolphins,601,331,55.1,7.2,4302,26,25,74.9,0,0.0,10,86,1989,400,1330,3.3,10,0,0.0,0,13.0,26,0,1011,,,8,8,0,0.5
Raiders,414,201,48.6,7.9,3277,21,22,70.3,0,0.0,44,326,1989,454,2038,4.5,9,0,0.0,0,16.3,21,0,912,,,8,8,0,0.5
Rams,523,308,58.9,8.4,4369,29,18,90.1,0,0.0,32,236,1989,472,1909,4.0,19,0,0.0,0,14.2,29,0,1027,,,11,5,0,0.6875
Chiefs,435,259,59.5,7.4,3220,14,23,71.2,0,0.0,23,182,1989,559,2227,4.0,18,0,0.0,0,12.4,14,0,1017,,,8,7,1,0.53125
Colts,493,253,51.3,6.4,3134,18,17,69.1,0,0.0,28,174,1989,458,1853,4.0,11,0,0.0,0,12.4,18,0,979,,,8,8,0,0.5
Oilers,496,295,59.5,7.6,3786,23,16,85.5,0,0.0,37,287,1989,495,1928,3.9,16,0,0.0,0,12.8,23,0,1028,,,9,7,0,0.5625
Packers,600,354,59.0,7.2,4325,27,20,82.4,0,0.0,48,277,1989,397,1732,4.4,13,0,0.0,0,12.2,27,0,1045,,,10,6,0,0.625
Lions,450,229,50.9,7.3,3282,11,24,60.8,0,0.0,57,343,1989,421,2053,4.9,23,0,0.0,0,14.3,11,0,928,,,7,9,0,0.4375
Broncos,474,256,54.0,7.1,3352,21,20,73.7,0,0.0,43,351,1989,554,2092,3.8,15,0,0.0,0,13.1,21,0,1071,,,11,5,0,0.6875
Cowboys,513,266,51.9,6.1,3124,14,27,57.8,0,0.0,30,239,1989,355,1409,4.0,7,0,0.0,0,11.7,14,0,898,,,1,15,0,0.0625
Browns,529,309,58.4,6.9,3625,20,15,80.1,0,0.0,34,192,1989,448,1609,3.6,14,0,0.0,0,11.7,20,0,1011,,,9,6,1,0.59375
Bengals,513,288,56.1,7.7,3950,32,13,91.2,0,0.0,41,332,1989,529,2483,4.7,17,0,0.0,0,13.7,32,0,1083,,,8,8,0,0.5
Bears,484,267,55.2,6.7,3262,21,25,69.1,0,0.0,28,174,1989,516,2287,4.4,22,0,0.0,0,12.2,21,0,1028,,,6,10,0,0.375
Bills,478,281,58.8,8.0,3831,32,20,89.3,0,0.0,35,242,1989,532,2264,4.3,15,0,0.0,0,13.6,32,0,1045,,,9,7,0,0.5625
Falcons,578,312,54.0,6.8,3903,17,12,76.4,0,0.0,51,389,1989,318,1155,3.6,11,0,0.0,0,12.5,17,0,947,,,3,13,0,0.1875
Redskins,536,301,56.2,6.7,3611,22,22,73.5,0,0.0,22,132,1990,515,2083,4.0,16,0,0.0,0,12.0,22,0,1073,,,10,6,0,0.625
Buccaneers,448,245,54.7,7.3,3282,18,24,69.3,0,0.0,53,433,1990,410,1626,4.0,7,0,0.0,0,13.4,18,0,911,,,6,10,0,0.375
Seahawks,448,265,59.2,7.1,3194,15,20,73.6,0,0.0,40,360,1990,457,1749,3.8,18,0,0.0,0,12.1,15,0,945,,,9,7,0,0.5625
49ers,583,360,61.7,7.5,4371,28,16,89.4,0,0.0,37,194,1990,454,1718,3.8,12,0,0.0,0,12.1,28,0,1074,,,14,2,0,0.875
Chargers,472,246,52.1,6.0,2840,18,19,66.5,0,0.0,20,157,1990,484,2257,4.7,14,0,0.0,0,11.5,18,0,976,,,6,10,0,0.375
Steelers,408,237,58.1,7.1,2887,20,15,81.0,0,0.0,33,242,1990,456,1880,4.1,11,0,0.0,0,12.2,20,0,897,,,9,7,0,0.5625
Cardinals,439,238,54.2,7.1,3118,16,18,71.9,0,0.0,43,285,1990,452,1912,4.2,13,0,0.0,0,13.1,16,0,934,,,5,11,0,0.3125
Eagles,479,281,58.7,7.5,3582,34,13,94.5,0,0.0,50,438,1990,540,2556,4.7,10,0,0.0,0,12.7,34,0,1069,,,10,6,0,0.625
Jets,451,246,54.5,6.8,3059,14,11,76.0,0,0.0,40,300,1990,476,2127,4.5,16,0,0.0,0,12.4,14,0,967,,,6,10,0,0.375
Giants,398,231,58.0,7.3,2898,18,5,90.6,0,0.0,29,142,1990,541,2049,3.8,17,0,0.0,0,12.5,18,0,968,,,13,3,0,0.8125
Saints,447,226,50.6,6.2,2757,15,23,59.7,0,0.0,20,131,1990,464,1850,4.0,14,0,0.0,0,12.2,15,0,931,,,8,8,0,0.5
Patriots,514,274,53.3,6.2,3208,14,20,65.4,0,0.0,58,443,1990,383,1398,3.7,4,0,0.0,0,11.7,14,0,955,,,1,15,0,0.0625
Vikings,497,265,53.3,6.9,3445,25,24,72.0,0,0.0,49,278,1990,455,1867,4.1,10,0,0.0,0,13.0,25,0,1001,,,6,10,0,0.375
Dolphins,539,310,57.5,6.7,3611,21,12,81.6,0,0.0,16,99,1990,420,1535,3.7,13,0,0.0,0,11.6,21,0,975,,,12,4,0,0.75
Raiders,336,183,54.5,8.6,2885,19,10,89.7,0,0.0,29,197,1990,496,2028,4.1,20,0,0.0,0,15.8,19,0,861,,,12,4,0,0.75
Rams,561,310,55.3,7.2,4016,24,17,79.6,0,0.0,30,198,1990,422,1612,3.8,17,0,0.0,0,13.0,24,0,1013,,,5,11,0,0.3125
Chiefs,449,260,57.9,7.7,3458,23,5,94.9,0,0.0,22,191,1990,504,1948,3.9,11,0,0.0,0,13.3,23,0,975,,,11,5,0,0.6875
Colts,488,269,55.1,6.8,3297,22,21,73.3,0,0.0,51,424,1990,335,1282,3.8,9,0,0.0,0,12.3,22,0,874,,,7,9,0,0.4375
Oilers,639,399,62.4,7.9,5072,37,15,96.7,0,0.0,39,267,1990,328,1417,4.3,10,0,0.0,0,12.7,37,0,1006,,,9,7,0,0.5625
Packers,541,302,55.8,6.8,3696,20,21,73.2,0,0.0,62,390,1990,350,1369,3.9,5,0,0.0,0,12.2,20,0,953,,,6,10,0,0.375
Lions,460,242,52.6,7.2,3328,24,20,75.3,0,0.0,44,278,1990,366,1927,5.3,19,0,0.0,0,13.8,24,0,870,,,6,10,0,0.375
Broncos,527,305,57.9,7.0,3671,15,18,74.6,0,0.0,46,330,1990,462,1872,4.1,19,0,0.0,0,12.0,15,0,1035,,,5,11,0,0.3125
Cowboys,475,254,53.5,6.1,2898,12,24,59.4,0,0.0,43,317,1990,393,1500,3.8,13,0,0.0,0,11.4,12,0,911,,,7,9,0,0.4375
Browns,573,301,52.5,5.9,3407,13,23,61.5,0,0.0,42,260,1990,345,1220,3.5,10,0,0.0,0,11.3,13,0,960,,,3,13,0,0.1875
Bengals,425,237,55.8,7.4,3152,25,23,76.5,0,0.0,34,209,1990,484,2120,4.4,16,0,0.0,0,13.3,25,0,943,,,9,7,0,0.5625
Bears,430,229,53.3,6.6,2827,14,12,73.1,0,0.0,43,283,1990,551,2436,4.4,22,0,0.0,0,12.3,14,0,1024,,,11,5,0,0.6875
Bills,425,263,61.9,8.0,3404,28,11,98.2,0,0.0,27,208,1990,479,2080,4.3,20,0,0.0,0,12.9,28,0,931,,,13,3,0,0.8125
Falcons,528,293,55.5,7.1,3726,21,18,76.8,0,0.0,46,265,1990,420,1594,3.8,11,0,0.0,0,12.7,21,0,994,,,5,11,0,0.3125
Redskins,447,261,58.4,8.4,3771,30,11,98.0,179,40.0,9,79,1991,540,2049,3.8,21,107,19.8,0,14.4,30,0,996,0.5045454545454545,0.5714285714285714,14,2,0,0.875
Buccaneers,495,250,50.5,6.0,2955,13,29,53.4,147,29.7,56,383,1991,371,1429,3.9,9,79,21.3,0,11.8,13,0,922,0.3157894736842105,0.5,3,13,0,0.1875
Seahawks,488,290,59.4,6.9,3371,15,26,68.4,159,32.6,42,263,1991,394,1426,3.6,11,80,20.3,0,11.6,15,0,924,0.3471502590673575,0.2222222222222222,7,9,0,0.4375
49ers,522,325,62.3,8.0,4167,29,12,96.2,197,37.7,24,170,1991,440,1861,4.2,19,112,25.5,0,12.8,29,0,986,0.47668393782383417,0.375,10,6,0,0.625
Chargers,511,272,53.2,5.8,2983,13,16,66.2,155,30.3,35,236,1991,464,2248,4.8,16,114,24.6,0,11.0,13,0,1010,0.35023041474654376,0.52,4,12,0,0.25
Steelers,476,259,54.4,7.0,3313,20,16,76.4,158,33.2,45,359,1991,394,1627,4.1,8,82,20.8,0,12.8,20,0,915,0.3147208121827411,0.35294117647058826,7,9,0,0.4375
Cardinals,492,254,51.6,6.2,3039,10,25,56.4,143,29.1,43,372,1991,391,1295,3.3,6,73,18.7,0,12.0,10,0,926,0.3333333333333333,0.23529411764705882,4,12,0,0.25
Eagles,513,285,55.6,6.2,3169,17,27,63.2,142,27.7,45,263,1991,446,1396,3.1,8,86,19.3,0,11.1,17,0,1004,0.3273542600896861,0.6153846153846154,10,6,0,0.625
Jets,503,295,58.6,6.8,3429,12,12,77.4,169,33.6,33,273,1991,523,2160,4.1,17,133,25.4,0,11.6,12,0,1059,0.37850467289719625,0.5714285714285714,8,8,0,0.5
Giants,428,261,61.0,7.1,3025,13,8,84.7,148,34.6,36,181,1991,487,2064,4.2,16,120,24.6,0,11.6,13,0,951,0.42574257425742573,0.4375,8,8,0,0.5
Saints,506,292,57.7,6.8,3419,20,15,79.2,157,31.0,19,160,1991,483,1709,3.5,15,93,19.3,0,11.7,20,0,1008,0.37719298245614036,0.5,11,5,0,0.6875
Patriots,481,284,59.0,7.2,3442,11,22,69.7,155,32.2,63,436,1991,433,1467,3.4,9,93,21.5,0,12.1,11,0,977,0.3380281690140845,0.46153846153846156,6,10,0,0.375
Vikings,477,284,59.5,6.3,3016,16,16,75.2,158,33.1,28,133,1991,464,2201,4.7,18,125,26.9,0,10.6,16,0,969,0.39593908629441626,0.4,8,8,0,0.5
Dolphins,563,327,58.1,7.2,4077,26,14,85.7,205,36.4,28,188,1991,379,1352,3.6,8,91,24.0,0,12.5,26,0,970,0.4097560975609756,0.7692307692307693,8,8,0,0.5
Raiders,414,220,53.1,7.2,2977,20,18,74.3,132,31.9,33,249,1991,446,1706,3.8,8,97,21.7,0,13.5,20,0,893,0.38461538461538464,0.5833333333333334,9,7,0,0.5625
Rams,518,289,55.8,7.0,3610,13,20,69.9,180,34.7,30,200,1991,388,1285,3.3,11,75,19.3,0,12.5,13,0,936,0.3787878787878788,0.47368421052631576,3,13,0,0.1875
Chiefs,479,284,59.3,6.8,3281,19,14,81.1,172,35.9,21,177,1991,521,2217,4.3,14,127,24.4,0,11.6,19,0,1021,0.44878048780487806,0.6,10,6,0,0.625
Colts,512,305,59.6,6.0,3066,10,16,70.2,163,31.8,57,487,1991,354,1169,3.3,3,55,15.5,0,10.1,10,0,923,0.3125,0.4,1,15,0,0.0625
Oilers,667,411,61.6,7.2,4804,24,21,82.3,236,35.4,24,183,1991,331,1366,4.1,16,99,29.9,0,11.7,24,0,1022,0.49743589743589745,0.3333333333333333,11,5,0,0.6875
Packers,514,272,52.9,6.3,3213,17,19,67.9,150,29.2,45,270,1991,381,1389,3.6,12,88,23.1,0,11.8,17,0,940,0.3719806763285024,0.5714285714285714,4,12,0,0.25
Lions,459,252,54.9,6.5,2974,16,17,71.0,148,32.2,25,116,1991,454,1930,4.3,19,116,25.6,0,11.8,16,0,938,0.36548223350253806,0.5,12,4,0,0.75
Broncos,459,246,53.6,7.2,3310,13,12,75.3,150,32.7,46,313,1991,507,2015,4.0,16,117,23.1,0,13.5,13,0,1012,0.41517857142857145,0.5714285714285714,12,4,0,0.75
Cowboys,500,305,61.0,7.3,3663,16,12,84.1,191,38.2,38,273,1991,433,1711,4.0,15,89,20.6,0,12.0,16,0,971,0.37755102040816324,0.42857142857142855,11,5,0,0.6875
Browns,503,312,62.0,7.1,3547,19,10,87.5,163,32.4,42,243,1991,389,1360,3.5,12,82,21.1,0,11.4,19,0,934,0.37185929648241206,0.45,6,10,0,0.375
Bengals,511,290,56.8,6.7,3413,14,22,68.4,162,31.7,33,255,1991,449,1811,4.0,11,96,21.4,0,11.8,14,0,993,0.36792452830188677,0.45,3,13,0,0.1875
Bears,497,286,57.5,6.6,3292,16,17,74.1,168,33.8,26,172,1991,502,1949,3.9,18,120,23.9,0,11.5,16,0,1025,0.4298642533936652,0.3888888888888889,11,5,0,0.6875
Bills,516,332,64.3,8.0,4140,39,19,99.0,208,40.3,35,269,1991,505,2381,4.7,16,128,25.3,0,12.5,39,0,1056,0.4712041884816754,0.3333333333333333,13,3,0,0.8125
Falcons,499,260,52.1,7.3,3634,30,22,77.5,162,32.5,31,185,1991,410,1664,4.1,6,82,20.0,0,14.0,30,0,940,0.3556701030927835,0.5555555555555556,10,6,0,0.625
Redskins,485,272,56.1,6.9,3339,15,17,73.2,160,33.0,23,176,1992,483,1727,3.6,10,104,21.5,1,12.3,15,3,991,0.4336283185840708,0.6153846153846154,9,7,0,0.5625
