Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,Sck,SckY,Year,Att_Rush,Rush Yds,YPC,Rush_TD,Rush 1st,Rush 1st%,Rush FUM,Yds/Rec,Rec_TD,Rec FUM,Scrm Plys,3rd_Conv%,4th Conv%,W,L,T,Win pct
Broncos,467,262,56.1,6.7,3107,14,25,64.2,0,0.0,44,330,1980,480,1865,3.9,16,0,0.0,0,11.9,14,0,991,,,8,8,0,0.5
Cowboys,449,265,59.0,7.5,3356,30,25,81.5,0,0.0,31,252,1980,595,2378,4.0,26,0,0.0,0,12.7,30,0,1075,,,12,4,0,0.75
Browns,554,337,60.8,7.5,4132,30,14,91.4,0,0.0,23,217,1980,436,1673,3.8,15,0,0.0,0,12.3,30,0,1013,,,11,5,0,0.6875
Bengals,510,281,55.1,6.1,3102,17,25,64.0,0,0.0,37,287,1980,513,2069,4.0,9,0,0.0,0,11.0,17,0,1060,,,6,10,0,0.375
Bears,404,209,51.7,6.6,2669,13,25,57.7,0,0.0,33,274,1980,579,2440,4.2,22,0,0.0,0,12.8,13,0,1016,,,7,9,0,0.4375
Bills,461,262,56.8,6.4,2936,20,19,73.3,0,0.0,20,186,1980,603,2222,3.7,17,0,0.0,0,11.2,20,0,1084,,,11,5,0,0.6875
Falcons,467,259,55.5,7.6,3568,31,17,87.1,0,0.0,35,324,1980,559,2405,4.3,15,0,0.0,0,13.8,31,0,1061,,,12,4,0,0.75
Redskins,525,307,58.5,7.1,3743,19,22,75.1,0,0.0,30,277,1981,532,2157,4.1,19,0,0.0,0,12.2,19,0,1087,,,8,8,0,0.5
Buccaneers,473,239,50.5,7.5,3565,20,14,77.4,0,0.0,19,136,1981,458,1731,3.8,13,0,0.0,0,14.9,20,0,950,,,9,7,0,0.5625
Seahawks,524,307,58.6,7.1,3727,21,15,82.0,0,0.0,37,300,1981,440,1594,3.6,14,0,0.0,0,12.1,21,0,1001,,,6,10,0,0.375
49ers,517,328,63.4,7.3,3766,20,13,87.7,0,0.0,29,223,1981,560,1941,3.5,17,0,0.0,0,11.5,20,0,1106,,,13,3,0,0.8125
Chargers,629,368,58.5,7.7,4873,34,18,89.2,0,0.0,19,134,1981,481,2005,4.2,26,0,0.0,0,13.2,34,0,1129,,,10,6,0,0.625
Steelers,461,247,53.6,7.5,3457,25,19,78.9,0,0.0,27,231,1981,554,2372,4.3,21,0,0.0,0,14.0,25,0,1042,,,8,8,0,0.5
Cardinals,477,253,53.0,6.9,3269,15,24,64.4,0,0.0,48,405,1981,519,2213,4.3,20,0,0.0,0,12.9,15,0,1044,,,7,9,0,0.4375
Eagles,476,258,54.2,6.8,3249,25,22,73.9,0,0.0,22,205,1981,559,2509,4.5,17,0,0.0,0,12.6,25,0,1057,,,10,6,0,0.625
Jets,507,283,55.8,6.5,3279,26,14,81.1,0,0.0,30,224,1981,571,2341,4.1,11,0,0.0,0,11.6,26,0,1108,,,10,5,1,0.65625
Giants,506,251,49.6,5.9,3009,16,20,62.3,0,0.0,47,368,1981,481,1685,3.5,11,0,0.0,0,12.0,16,0,1034,,,9,7,0,0.5625
Saints,441,238,54.0,6.3,2778,8,27,53.8,0,0.0,41,359,1981,546,2286,4.2,16,0,0.0,0,11.7,8,0,1028,,,4,12,0,0.25
Patriots,482,254,52.7,8.1,3904,17,34,62.1,0,0.0,45,321,1981,499,2040,4.1,23,0,0.0,0,15.4,17,0,1026,,,2,14,0,0.125
Vikings,709,382,53.9,6.4,4567,27,29,69.5,0,0.0,29,234,1981,391,1512,3.9,8,0,0.0,0,12.0,27,0,1129,,,7,9,0,0.4375
Dolphins,498,271,54.4,6.8,3385,18,21,70.2,0,0.0,30,236,1981,535,2173,4.1,18,0,0.0,0,12.5,18,0,1063,,,11,4,1,0.71875
Raiders,545,267,49.0,6.2,3356,18,28,58.2,0,0.0,53,437,1981,493,2058,4.2,11,0,0.0,0,12.6,18,0,1091,,,7,9,0,0.4375
Rams,477,235,49.3,6.3,3008,15,32,51.9,0,0.0,50,451,1981,559,2236,4.0,17,0,0.0,0,12.8,15,0,1086,,,6,10,0,0.375
Chiefs,410,224,54.6,7.1,2917,12,22,64.7,0,0.0,37,277,1981,610,2633,4.3,22,0,0.0,0,13.0,12,0,1057,,,9,7,0,0.5625
Colts,479,265,55.3,7.1,3379,21,23,72.2,0,0.0,37,321,1981,441,1850,4.2,11,0,0.0,0,12.8,21,0,957,,,2,14,0,0.125
Oilers,441,258,58.5,7.1,3119,21,23,74.4,0,0.0,40,342,1981,466,1734,3.7,11,0,0.0,0,12.1,21,0,947,,,7,9,0,0.4375
Packers,514,286,55.6,7.0,3576,24,24,73.5,0,0.0,52,387,1981,478,1670,3.5,11,0,0.0,0,12.5,24,0,1044,,,8,8,0,0.5
Lions,436,228,52.3,8.0,3475,18,23,70.7,0,0.0,44,337,1981,596,2795,4.7,26,0,0.0,0,15.2,18,0,1076,,,8,8,0,0.5
Broncos,485,289,59.6,8.2,3992,27,21,86.6,0,0.0,61,461,1981,515,1895,3.7,12,0,0.0,0,13.8,27,0,1061,,,10,6,0,0.625
Cowboys,439,241,54.9,7.8,3414,24,15,84.2,0,0.0,31,245,1981,630,2711,4.3,15,0,0.0,0,14.2,24,0,1100,,,12,4,0,0.75
Browns,624,348,55.8,7.0,4339,21,27,70.7,0,0.0,40,353,1981,474,1929,4.1,11,0,0.0,0,12.5,21,0,1138,,,5,11,0,0.3125
Bengals,550,332,60.4,7.6,4200,30,12,93.3,0,0.0,35,205,1981,493,1973,4.0,19,0,0.0,0,12.7,30,0,1078,,,12,4,0,0.75
Bears,489,222,45.4,5.6,2728,14,23,53.1,0,0.0,35,266,1981,608,2171,3.6,13,0,0.0,0,12.3,14,0,1132,,,6,10,0,0.375
Bills,503,253,50.3,7.3,3661,25,20,74.3,0,0.0,16,146,1981,524,2125,4.1,13,0,0.0,0,14.5,25,0,1043,,,10,6,0,0.625
Falcons,563,311,55.2,7.1,3986,30,24,77.6,0,0.0,37,287,1981,495,1965,4.0,15,0,0.0,0,12.8,30,0,1095,,,7,9,0,0.4375
Redskins,253,162,64.0,8.2,2068,13,9,91.8,0,0.0,30,223,1982,315,1140,3.6,5,0,0.0,0,12.8,13,0,598,,,8,1,0,0.8888888888888888
Buccaneers,308,164,53.2,6.7,2071,9,11,69.3,0,0.0,11,128,1982,268,952,3.6,6,0,0.0,0,12.6,9,0,587,,,5,4,0,0.5555555555555556
Seahawks,326,176,54.0,6.3,2068,9,13,66.1,0,0.0,36,269,1982,227,795,3.5,4,0,0.0,0,11.8,9,0,589,,,4,5,0,0.4444444444444444
49ers,348,215,61.8,7.7,2668,17,11,88.6,0,0.0,20,166,1982,219,740,3.4,6,0,0.0,0,12.4,17,0,587,,,3,6,0,0.3333333333333333
Chargers,338,208,61.5,8.9,3021,19,12,94.6,0,0.0,12,94,1982,267,1121,4.2,15,0,0.0,0,14.5,19,0,617,,,6,3,0,0.6666666666666666
Steelers,275,141,51.3,7.0,1922,17,16,70.3,0,0.0,19,139,1982,289,1187,4.1,7,0,0.0,0,13.6,17,0,583,,,6,3,0,0.6666666666666666
Cardinals,240,129,53.8,6.6,1576,6,6,72.2,0,0.0,32,243,1982,307,1209,3.9,10,0,0.0,0,12.2,6,0,579,,,5,4,0,0.5555555555555556
Eagles,288,168,58.3,7.3,2100,12,13,76.2,0,0.0,31,244,1982,211,829,3.9,11,0,0.0,0,12.5,12,0,530,,,3,6,0,0.3333333333333333
Jets,279,165,59.1,7.6,2107,16,9,88.5,0,0.0,23,206,1982,304,1317,4.3,13,0,0.0,0,12.8,16,0,606,,,6,3,0,0.6666666666666666
Giants,298,161,54.0,6.8,2017,10,9,73.9,0,0.0,17,130,1982,244,842,3.5,7,0,0.0,0,12.5,10,0,559,,,4,5,0,0.4444444444444444
Saints,248,137,55.2,6.3,1571,8,14,61.7,0,0.0,23,173,1982,331,1257,3.8,8,0,0.0,0,11.5,8,0,602,,,4,5,0,0.4444444444444444
Patriots,187,93,49.7,7.6,1420,12,9,76.5,0,0.0,15,134,1982,324,1347,4.2,3,0,0.0,0,15.3,12,0,526,,,5,4,0,0.5555555555555556
Vikings,334,187,56.0,6.3,2105,15,12,75.0,0,0.0,22,138,1982,245,912,3.7,6,0,0.0,0,11.3,15,0,601,,,5,4,0,0.5555555555555556
Dolphins,238,129,54.2,5.9,1401,8,13,60.2,0,0.0,11,87,1982,333,1344,4.0,11,0,0.0,0,10.9,8,0,582,,,7,2,0,0.7777777777777778
Raiders,267,154,57.7,7.8,2086,14,15,76.8,0,0.0,23,211,1982,292,1080,3.7,15,0,0.0,0,13.5,14,0,582,,,8,1,0,0.8888888888888888
Rams,297,166,55.9,7.2,2136,11,14,71.3,0,0.0,15,137,1982,251,1025,4.1,13,0,0.0,0,12.9,11,0,563,,,2,7,0,0.2222222222222222
Chiefs,264,145,54.9,7.1,1864,10,8,77.3,0,0.0,40,309,1982,269,943,3.5,3,0,0.0,0,12.9,10,0,573,,,3,6,0,0.3333333333333333
Colts,283,142,50.2,5.7,1613,6,10,60.0,0,0.0,20,174,1982,293,1044,3.6,4,0,0.0,0,11.4,6,0,596,,,0,8,1,0.05555555555555555
Oilers,287,153,53.3,6.6,1882,12,15,66.0,0,0.0,39,308,1982,225,799,3.6,5,0,0.0,0,12.3,12,0,551,,,1,8,0,0.1111111111111111
Packers,267,143,53.6,7.7,2068,12,15,70.6,0,0.0,32,239,1982,283,1081,3.8,12,0,0.0,0,14.5,12,0,582,,,5,3,1,0.6111111111111112
Lions,285,136,47.7,6.2,1754,12,18,55.2,0,0.0,30,242,1982,283,1022,3.6,5,0,0.0,0,12.9,12,0,598,,,4,5,0,0.4444444444444444
