Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,Sck,Year,Att_Rush,Rush Yds,YPC,Rush_TD,Rush 1st,Rush 1st%,Yds/Rec,Rec_TD,Rec FUM,PDef,Scrm Plys,3rd_Conv%,4th Conv%,FF,FR,W,L,T,Win pct
Redskins,411,191,46.5,6.0,2127,11,29,45.1,0,0.0,36,1971,408,1396,3.4,7,0,0.0,12.8,11,0,0,855,,,0,0,9,4,1,0.6785714285714286
49ers,341,152,44.6,6.8,2011,17,14,67.0,0,0.0,38,1971,408,1668,4.1,4,0,0.0,15.2,17,0,0,787,,,0,0,9,5,0,0.6428571428571429
Chargers,347,193,55.6,7.0,2262,15,22,65.7,0,0.0,19,1971,493,2296,4.7,25,0,0.0,12.6,15,0,0,859,,,0,0,6,8,0,0.42857142857142855
Steelers,408,235,57.6,7.5,2766,16,17,77.0,0,0.0,33,1971,440,1482,3.4,13,0,0.0,13.0,16,0,0,881,,,0,0,6,8,0,0.42857142857142855
Cardinals,375,212,56.5,6.8,2380,12,17,69.3,0,0.0,20,1971,486,1985,4.1,10,0,0.0,12.0,12,0,0,881,,,0,0,4,9,1,0.32142857142857145
Eagles,407,220,54.1,7.3,2660,16,22,68.1,0,0.0,32,1971,450,1962,4.4,16,0,0.0,13.5,16,0,0,889,,,0,0,6,7,1,0.4642857142857143
Jets,342,163,47.7,6.7,2055,17,13,70.4,0,0.0,27,1971,472,2302,4.9,18,0,0.0,14.0,17,0,0,841,,,0,0,6,8,0,0.42857142857142855
Giants,333,173,52.0,7.4,2307,25,15,82.4,0,0.0,18,1971,449,2059,4.6,12,0,0.0,14.2,25,0,0,800,,,0,0,4,10,0,0.2857142857142857
Saints,333,175,52.6,7.4,2238,20,20,71.8,0,0.0,24,1971,495,2200,4.4,18,0,0.0,14.1,20,0,0,852,,,0,0,4,8,2,0.35714285714285715
Patriots,350,170,48.6,6.9,2154,16,15,68.5,0,0.0,25,1971,481,1918,4.0,14,0,0.0,14.1,16,0,0,856,,,0,0,6,8,0,0.42857142857142855
Vikings,405,206,50.9,5.0,1806,10,27,45.7,0,0.0,27,1971,447,1600,3.6,2,0,0.0,9.8,10,0,0,879,,,0,0,11,3,0,0.7857142857142857
Dolphins,363,206,56.7,6.3,2000,10,17,65.4,0,0.0,34,1971,403,1661,4.1,10,0,0.0,11.1,10,0,0,800,,,0,0,10,3,1,0.75
Raiders,359,184,51.3,7.3,2386,15,23,62.3,0,0.0,32,1971,480,1751,3.6,14,0,0.0,14.2,15,0,0,871,,,0,0,8,4,2,0.6428571428571429
Rams,387,200,51.7,7.0,2379,15,27,58.0,0,0.0,37,1971,455,1658,3.6,11,0,0.0,13.5,15,0,0,879,,,0,0,8,5,1,0.6071428571428571
Chiefs,418,209,50.0,6.5,2468,11,27,52.6,0,0.0,28,1971,367,1300,3.5,9,0,0.0,12.9,11,0,0,813,,,0,0,10,3,1,0.75
Colts,361,185,51.2,5.6,1739,9,28,44.2,0,0.0,33,1971,352,1113,3.2,8,0,0.0,11.0,9,0,0,746,,,0,0,10,4,0,0.7142857142857143
Oilers,354,180,50.8,6.8,2072,11,23,56.2,0,0.0,37,1971,489,1723,3.5,22,0,0.0,13.4,11,0,0,880,,,0,0,4,9,1,0.32142857142857145
Packers,353,186,52.7,7.0,2301,21,16,76.1,0,0.0,19,1971,489,1707,3.5,7,0,0.0,13.3,21,0,0,861,,,0,0,4,8,2,0.35714285714285715
Lions,306,163,53.3,7.1,2017,17,22,64.5,0,0.0,18,1971,432,1842,4.3,15,0,0.0,13.3,17,0,0,756,,,0,0,7,6,1,0.5357142857142857
Broncos,356,150,42.1,6.8,1985,18,20,59.0,0,0.0,44,1971,426,1834,4.3,11,0,0.0,16.1,18,0,0,826,,,0,0,4,9,1,0.32142857142857145
Cowboys,421,209,49.6,6.3,2324,15,26,55.9,0,0.0,43,1971,353,1144,3.2,8,0,0.0,12.7,15,0,0,817,,,0,0,11,3,0,0.7857142857142857
Browns,339,156,46.0,6.4,1967,12,24,49.4,0,0.0,25,1971,484,2227,4.6,14,0,0.0,13.9,12,0,0,848,,,0,0,9,5,0,0.6428571428571429
Bengals,335,157,46.9,7.1,2128,19,27,56.1,0,0.0,30,1971,446,1778,4.0,11,0,0.0,15.2,19,0,0,811,,,0,0,4,10,0,0.2857142857142857
Bears,362,192,53.0,7.2,2404,12,22,62.0,0,0.0,28,1971,509,2116,4.2,14,0,0.0,13.6,12,0,0,899,,,0,0,6,8,0,0.42857142857142855
Bills,303,157,51.8,7.7,2108,20,11,84.2,0,0.0,30,1971,562,2496,4.4,21,0,0.0,14.9,20,0,0,895,,,0,0,1,13,0,0.07142857142857142
Falcons,343,164,47.8,5.5,1638,9,20,49.4,0,0.0,31,1971,500,2149,4.3,19,0,0.0,11.6,9,0,0,874,,,0,0,7,6,1,0.5357142857142857
Redskins,367,186,50.7,5.8,1862,10,17,58.3,0,0.0,35,1972,427,1733,4.1,12,0,0.0,11.5,10,0,0,829,,,0,0,11,3,0,0.7857142857142857
49ers,366,169,46.2,7.1,2179,14,19,61.1,0,0.0,46,1972,446,1847,4.1,12,0,0.0,15.3,14,0,0,858,,,0,0,8,5,1,0.6071428571428571
Chargers,358,201,56.1,6.8,2208,18,24,66.1,0,0.0,26,1972,435,1673,3.8,18,0,0.0,12.1,18,0,0,819,,,0,0,4,9,1,0.32142857142857145
Steelers,411,206,50.1,5.8,2056,9,28,47.0,0,0.0,40,1972,445,1715,3.9,6,0,0.0,11.6,9,0,0,896,,,0,0,11,3,0,0.7857142857142857
Cardinals,365,221,60.5,7.5,2550,15,11,84.9,0,0.0,22,1972,548,2189,4.0,11,0,0.0,12.4,15,0,0,935,,,0,0,4,9,1,0.32142857142857145
Eagles,318,175,55.0,8.2,2472,20,19,78.3,0,0.0,17,1972,544,2266,4.2,22,0,0.0,14.9,20,0,0,879,,,0,0,2,11,1,0.17857142857142858
Jets,363,186,51.2,8.0,2637,18,19,72.7,0,0.0,27,1972,476,2072,4.4,16,0,0.0,15.5,18,0,0,866,,,0,0,7,7,0,0.5
Giants,333,182,54.7,7.7,2339,19,23,70.0,0,0.0,37,1972,402,1855,4.6,9,0,0.0,14.1,19,0,0,772,,,0,0,8,6,0,0.5714285714285714
Saints,367,213,58.0,7.1,2402,21,14,83.1,0,0.0,24,1972,482,2089,4.3,15,0,0.0,12.2,21,0,0,873,,,0,0,2,11,1,0.17857142857142858
Patriots,326,175,53.7,8.1,2533,24,10,92.2,0,0.0,15,1972,548,2717,5.0,27,0,0.0,15.1,24,0,0,889,,,0,0,3,11,0,0.21428571428571427
Vikings,331,169,51.1,5.4,1699,13,26,47.5,0,0.0,21,1972,454,2002,4.4,13,0,0.0,10.6,13,0,0,806,,,0,0,7,7,0,0.5
Dolphins,348,178,51.1,5.8,1749,10,26,47.4,0,0.0,33,1972,389,1548,4.0,8,0,0.0,11.4,10,0,0,770,,,0,0,14,0,0,1.0
Raiders,348,166,47.7,6.8,2152,14,25,53.6,0,0.0,27,1972,469,1764,3.8,9,0,0.0,14.2,14,0,0,844,,,0,0,10,3,1,0.75
Rams,363,181,49.9,6.8,2145,20,16,72.0,0,0.0,42,1972,438,1762,4.0,9,0,0.0,13.7,20,0,0,843,,,0,0,6,7,1,0.4642857142857143
Chiefs,368,186,50.5,6.7,2222,17,24,60.5,0,0.0,32,1972,453,1805,4.0,12,0,0.0,13.3,17,0,0,853,,,0,0,8,6,0,0.5714285714285714
Colts,313,178,56.9,8.2,2323,15,23,68.8,0,0.0,25,1972,515,1989,3.9,15,0,0.0,14.4,15,0,0,853,,,0,0,5,9,0,0.35714285714285715
Oilers,324,174,53.7,7.1,2143,12,6,81.2,0,0.0,24,1972,546,2591,4.7,23,0,0.0,13.3,12,0,0,894,,,0,0,1,13,0,0.07142857142857142
Packers,340,174,51.2,6.5,1957,7,17,57.8,0,0.0,29,1972,443,1517,3.4,14,0,0.0,12.7,7,0,0,812,,,0,0,10,4,0,0.7142857142857143
Lions,312,171,54.8,6.9,2004,18,12,79.6,0,0.0,21,1972,491,2204,4.5,14,0,0.0,12.5,18,0,0,824,,,0,0,8,5,1,0.6071428571428571
Broncos,397,206,51.9,6.4,2183,19,10,77.4,0,0.0,41,1972,439,1668,3.8,15,0,0.0,12.3,19,0,0,877,,,0,0,5,9,0,0.35714285714285715
Cowboys,382,187,49.0,6.6,2240,18,16,68.5,0,0.0,32,1972,428,1515,3.5,7,0,0.0,13.4,18,0,0,842,,,0,0,10,4,0,0.7142857142857143
Browns,310,160,51.6,6.4,1736,14,13,69.5,0,0.0,38,1972,520,2333,4.5,13,0,0.0,12.5,14,0,0,868,,,0,0,10,4,0,0.7142857142857143
Bengals,350,167,47.7,5.8,1737,11,20,52.7,0,0.0,38,1972,406,1815,4.5,11,0,0.0,12.2,11,0,0,794,,,0,0,8,6,0,0.5714285714285714
Bears,342,180,52.6,6.9,2172,16,21,64.5,0,0.0,23,1972,476,1751,3.7,11,0,0.0,13.0,16,0,0,841,,,0,0,4,9,1,0.32142857142857145
Bills,308,131,42.5,7.0,1951,19,23,56.0,0,0.0,22,1972,532,2241,4.2,26,0,0.0,16.4,19,0,0,862,,,0,0,4,9,1,0.32142857142857145
Falcons,301,137,45.5,6.3,1704,13,18,55.9,0,0.0,24,1972,504,2063,4.1,16,0,0.0,13.9,13,0,0,829,,,0,0,7,7,0,0.5
Redskins,406,203,50.0,6.2,2176,12,26,52.9,0,0.0,53,1973,480,1603,3.3,8,0,0.0,12.5,12,0,0,939,,,0,0,10,4,0,0.7142857142857143
49ers,383,194,50.7,6.8,2366,19,17,70.5,0,0.0,32,1973,513,1963,3.8,11,0,0.0,13.4,19,0,0,928,,,0,0,5,9,0,0.35714285714285715
Chargers,341,177,51.9,7.3,2254,18,16,73.6,0,0.0,26,1973,559,2264,4.1,23,0,0.0,14.0,18,0,0,926,,,0,0,2,11,1,0.17857142857142858
Steelers,359,164,45.7,5.4,1672,11,37,33.1,0,0.0,33,1973,488,1652,3.4,8,0,0.0,11.7,11,0,0,880,,,0,0,10,4,0,0.7142857142857143
Cardinals,417,252,60.4,7.7,3029,23,10,93.1,0,0.0,29,1973,504,2120,4.2,16,0,0.0,12.8,23,0,0,950,,,0,0,4,9,1,0.32142857142857145
Eagles,370,219,59.2,7.5,2639,22,15,85.7,0,0.0,21,1973,512,2423,4.7,22,0,0.0,12.7,22,0,0,903,,,0,0,5,8,1,0.39285714285714285
Jets,296,150,50.7,7.3,1950,18,19,68.1,0,0.0,26,1973,538,2228,4.1,12,0,0.0,14.3,18,0,0,860,,,0,0,4,10,0,0.2857142857142857
Giants,275,161,58.5,8.2,1985,17,20,75.3,0,0.0,35,1973,497,2174,4.4,21,0,0.0,14.0,17,0,0,807,,,0,0,2,11,1,0.17857142857142858
Saints,337,176,52.2,6.9,2178,15,16,69.5,0,0.0,24,1973,556,2402,4.3,17,0,0.0,13.3,15,0,0,917,,,0,0,5,9,0,0.35714285714285715
Patriots,240,134,55.8,6.7,1338,11,13,69.1,0,0.0,32,1973,560,2850,5.1,16,0,0.0,11.9,11,0,0,832,,,0,0,5,9,0,0.35714285714285715
Vikings,377,198,52.5,5.6,1894,8,21,53.2,0,0.0,30,1973,450,1974,4.4,5,0,0.0,10.7,8,0,0,857,,,0,0,12,2,0,0.8571428571428571
Dolphins,322,151,46.9,5.0,1290,5,21,39.9,0,0.0,45,1973,511,1991,3.9,10,0,0.0,10.6,5,0,0,878,,,0,0,12,2,0,0.8571428571428571
Raiders,370,170,45.9,5.4,1690,12,17,54.5,0,0.0,40,1973,435,1470,3.4,5,0,0.0,11.7,12,0,0,845,,,0,0,9,4,1,0.6785714285714286
Rams,328,179,54.6,6.2,1681,10,20,58.0,0,0.0,45,1973,366,1270,3.5,5,0,0.0,11.3,10,0,0,739,,,0,0,12,2,0,0.8571428571428571
Chiefs,324,157,48.5,6.0,1619,11,21,51.7,0,0.0,38,1973,493,1956,4.0,11,0,0.0,12.4,11,0,0,855,,,0,0,7,5,2,0.5714285714285714
Colts,331,199,60.1,7.9,2399,16,15,82.1,0,0.0,25,1973,491,2089,4.3,15,0,0.0,13.1,16,0,0,847,,,0,0,4,10,0,0.2857142857142857
Oilers,326,178,54.6,7.6,2237,26,17,84.0,0,0.0,27,1973,576,2410,4.2,19,0,0.0,13.9,26,0,0,929,,,0,0,1,13,0,0.07142857142857142
Packers,327,180,55.0,6.3,1822,14,15,69.2,0,0.0,25,1973,506,1999,4.0,13,0,0.0,11.4,14,0,0,858,,,0,0,5,7,2,0.42857142857142855
Lions,332,173,52.1,6.2,1788,15,22,58.8,0,0.0,33,1973,501,2117,4.2,10,0,0.0,11.9,15,0,0,866,,,0,0,6,7,1,0.4642857142857143
Broncos,387,202,52.2,7.1,2440,15,14,73.2,0,0.0,36,1973,455,1795,3.9,14,0,0.0,13.7,15,0,0,878,,,0,0,7,5,2,0.5714285714285714
Cowboys,352,187,53.1,6.5,1995,15,18,66.5,0,0.0,40,1973,435,1471,3.4,5,0,0.0,12.3,15,0,0,827,,,0,0,10,4,0,0.7142857142857143
Browns,312,144,46.2,6.4,1736,16,12,68.1,0,0.0,29,1973,513,2091,4.1,7,0,0.0,13.8,16,0,0,854,,,0,0,7,5,2,0.5714285714285714
Bengals,338,182,53.8,6.6,1898,9,18,61.3,0,0.0,43,1973,459,1807,3.9,15,0,0.0,12.3,9,0,0,840,,,0,0,10,4,0,0.7142857142857143
Bears,303,156,51.5,6.5,1674,17,14,71.6,0,0.0,32,1973,563,2509,4.5,19,0,0.0,12.7,17,0,0,898,,,0,0,3,11,0,0.21428571428571427
Bills,368,166,45.1,6.5,2118,12,14,61.8,0,0.0,32,1973,455,1797,3.9,11,0,0.0,14.4,12,0,0,855,,,0,0,9,5,0,0.6428571428571429
Falcons,324,151,46.6,5.0,1430,11,22,44.8,0,0.0,29,1973,520,2129,4.1,12,0,0.0,10.7,11,0,0,873,,,0,0,9,5,0,0.6428571428571429
Redskins,399,197,49.4,5.3,1846,13,25,49.9,0,0.0,31,1974,414,1439,3.5,7,0,0.0,10.7,13,0,0,844,,,0,0,10,4,0,0.7142857142857143
49ers,339,178,52.5,6.4,1931,14,20,61.8,0,0.0,28,1974,503,2033,4.0,13,0,0.0,12.2,14,0,0,870,,,0,0,6,8,0,0.42857142857142855
Chargers,367,222,60.5,7.7,2670,13,15,79.2,0,0.0,18,1974,508,2160,4.3,21,0,0.0,12.7,13,0,0,893,,,0,0,5,9,0,0.35714285714285715
Steelers,339,147,43.4,5.5,1466,14,25,44.3,0,0.0,52,1974,472,1608,3.4,7,0,0.0,12.7,14,0,0,863,,,0,0,10,3,1,0.75
Cardinals,413,230,55.7,6.2,2363,11,16,67.3,0,0.0,35,1974,461,1888,4.1,15,0,0.0,11.2,11,0,0,909,,,0,0,10,4,0,0.7142857142857143
Eagles,434,230,53.0,6.2,2473,9,18,61.6,0,0.0,28,1974,460,1797,3.9,14,0,0.0,11.7,9,0,0,922,,,0,0,7,7,0,0.5
Jets,347,186,53.6,6.5,2057,14,17,66.8,0,0.0,25,1974,539,2240,4.2,20,0,0.0,12.1,14,0,0,911,,,0,0,7,7,0,0.5
Giants,415,245,59.0,6.5,2541,22,15,80.9,0,0.0,25,1974,521,1916,3.7,15,0,0.0,11.0,22,0,0,961,,,0,0,2,12,0,0.14285714285714285
Saints,369,193,52.3,6.3,2039,17,16,69.3,0,0.0,37,1974,447,1758,3.9,11,0,0.0,12.1,17,0,0,853,,,0,0,5,9,0,0.35714285714285715
Patriots,374,210,56.1,7.4,2480,17,24,68.2,0,0.0,38,1974,467,1587,3.4,16,0,0.0,13.2,17,0,0,879,,,0,0,7,7,0,0.5
Vikings,396,214,54.0,6.5,2302,8,22,57.7,0,0.0,31,1974,437,1605,3.7,12,0,0.0,12.0,8,0,0,864,,,0,0,10,4,0,0.7142857142857143
Dolphins,372,200,53.8,6.6,2182,14,16,69.0,0,0.0,31,1974,404,1624,4.0,7,0,0.0,12.3,14,0,0,807,,,0,0,11,3,0,0.7857142857142857
Raiders,367,175,47.7,6.6,2111,12,27,49.6,0,0.0,36,1974,459,2108,4.6,12,0,0.0,13.9,12,0,0,862,,,0,0,12,2,0,0.8571428571428571
Rams,381,194,50.9,6.5,2102,16,22,61.4,0,0.0,44,1974,381,1302,3.4,4,0,0.0,12.7,16,0,0,806,,,0,0,10,4,0,0.7142857142857143
Chiefs,408,206,50.5,7.0,2663,22,28,62.5,0,0.0,26,1974,502,1801,3.6,16,0,0.0,13.8,22,0,0,936,,,0,0,5,9,0,0.35714285714285715
Colts,312,180,57.7,7.5,2165,16,10,85.3,0,0.0,21,1974,516,1961,3.8,20,0,0.0,13.0,16,0,0,849,,,0,0,2,12,0,0.14285714285714285
Oilers,405,231,57.0,6.7,2375,19,21,71.7,0,0.0,40,1974,474,2050,4.3,15,0,0.0,11.8,19,0,0,919,,,0,0,7,7,0,0.5
Packers,383,188,49.1,5.9,2000,10,23,51.2,0,0.0,28,1974,465,1641,3.5,10,0,0.0,12.0,10,0,0,876,,,0,0,6,8,0,0.42857142857142855
Lions,405,219,54.1,6.0,2236,13,17,65.3,0,0.0,24,1974,486,2102,4.3,17,0,0.0,11.1,13,0,0,915,,,0,0,7,7,0,0.5
Broncos,426,237,55.6,6.6,2583,14,22,65.3,0,0.0,32,1974,487,1808,3.7,17,0,0.0,11.8,14,0,0,945,,,0,0,7,6,1,0.5357142857142857
Cowboys,349,178,51.0,7.0,2119,17,13,74.6,0,0.0,37,1974,417,1344,3.2,8,0,0.0,13.8,17,0,0,803,,,0,0,8,6,0,0.5714285714285714
Browns,308,139,45.1,7.3,2025,22,24,61.6,0,0.0,28,1974,555,2415,4.4,17,0,0.0,16.3,22,0,0,891,,,0,0,4,10,0,0.2857142857142857
Bengals,359,186,51.8,5.9,1790,13,9,71.4,0,0.0,36,1974,497,2152,4.3,16,0,0.0,11.3,13,0,0,892,,,0,0,7,7,0,0.5
Bears,329,174,52.9,6.8,2079,12,18,64.0,0,0.0,25,1974,519,1739,3.4,17,0,0.0,12.9,12,0,0,873,,,0,0,4,10,0,0.2857142857142857
Bills,311,146,46.9,6.1,1611,11,20,51.6,0,0.0,32,1974,489,1878,3.8,19,0,0.0,13.0,11,0,0,832,,,0,0,9,5,0,0.6428571428571429
Falcons,302,136,45.0,6.1,1572,13,17,56.0,0,0.0,31,1974,627,2564,4.1,19,0,0.0,13.6,13,0,0,960,,,0,0,3,11,0,0.21428571428571427
Redskins,389,217,55.8,7.0,2436,17,18,72.9,0,0.0,36,1975,525,2047,3.9,11,0,0.0,12.5,17,0,0,950,,,0,0,8,6,0,0.5714285714285714
49ers,411,228,55.5,6.1,2197,15,11,74.9,0,0.0,40,1975,518,1829,3.5,14,0,0.0,11.1,15,0,0,969,,,0,0,5,9,0,0.35714285714285715
Chargers,390,237,60.8,7.0,2510,16,20,74.1,0,0.0,26,1975,606,2442,4.0,21,0,0.0,11.5,16,0,0,1022,,,0,0,2,12,0,0.14285714285714285
Steelers,396,183,46.2,5.5,1836,9,27,42.8,0,0.0,43,1975,431,1825,4.2,8,0,0.0,12.0,9,0,0,870,,,0,0,12,2,0,0.8571428571428571
Cardinals,446,233,52.2,6.4,2670,16,22,63.8,0,0.0,24,1975,487,1925,4.0,16,0,0.0,12.3,16,0,0,957,,,0,0,11,3,0,0.7857142857142857
Eagles,424,226,53.3,6.3,2538,13,26,57.3,0,0.0,17,1975,529,2233,4.2,20,0,0.0,11.8,13,0,0,970,,,0,0,4,10,0,0.2857142857142857
Jets,316,180,57.0,9.1,2719,26,15,94.9,0,0.0,19,1975,574,2737,4.8,25,0,0.0,15.9,26,0,0,909,,,0,0,3,11,0,0.21428571428571427
Giants,365,196,53.7,7.0,2367,20,16,75.8,0,0.0,26,1975,555,2422,4.4,16,0,0.0,13.0,20,0,0,946,,,0,0,5,9,0,0.35714285714285715
Saints,354,206,58.2,7.3,2387,25,16,85.7,0,0.0,28,1975,507,1930,3.8,15,0,0.0,12.6,25,0,0,889,,,0,0,2,12,0,0.14285714285714285
Patriots,368,213,57.9,6.8,2244,18,13,80.4,0,0.0,33,1975,555,2220,4.0,20,0,0.0,11.8,18,0,0,956,,,0,0,3,11,0,0.21428571428571427
Vikings,360,175,48.6,5.5,1621,14,28,46.2,0,0.0,46,1975,383,1532,4.0,7,0,0.0,11.4,14,0,0,789,,,0,0,12,2,0,0.8571428571428571
Dolphins,375,200,53.3,6.2,2021,9,21,57.1,0,0.0,40,1975,443,1768,4.0,14,0,0.0,11.7,9,0,0,858,,,0,0,10,4,0,0.7142857142857143
Raiders,398,171,43.0,5.8,1844,14,35,37.2,0,0.0,55,1975,475,1785,3.8,15,0,0.0,13.6,14,0,0,928,,,0,0,11,3,0,0.7857142857142857
Rams,387,187,48.3,5.5,1789,11,22,51.0,0,0.0,43,1975,423,1533,3.6,4,0,0.0,11.4,11,0,0,853,,,0,0,12,2,0,0.8571428571428571
Chiefs,325,186,57.2,8.3,2512,18,20,77.3,0,0.0,28,1975,562,2724,4.8,24,0,0.0,14.5,18,0,0,915,,,0,0,5,9,0,0.35714285714285715
Colts,393,193,49.1,7.2,2352,17,29,56.9,0,0.0,59,1975,453,1821,4.0,17,0,0.0,14.8,17,0,0,905,,,0,0,10,4,0,0.7142857142857143
Oilers,409,235,57.5,6.8,2457,14,24,65.4,0,0.0,45,1975,498,1680,3.4,13,0,0.0,11.9,14,0,0,952,,,0,0,10,4,0,0.7142857142857143
Packers,369,192,52.0,6.7,2172,13,14,69.3,0,0.0,32,1975,580,2339,4.0,14,0,0.0,12.9,13,0,0,981,,,0,0,4,10,0,0.2857142857142857
Lions,360,181,50.3,6.6,2071,16,20,63.2,0,0.0,38,1975,480,1929,4.0,12,0,0.0,13.1,16,0,0,878,,,0,0,7,7,0,0.5
Broncos,348,181,52.0,6.5,2032,14,16,66.6,0,0.0,27,1975,526,1974,3.8,19,0,0.0,12.4,14,0,0,901,,,0,0,6,8,0,0.42857142857142855
Cowboys,373,162,43.4,6.2,2040,19,25,53.3,0,0.0,41,1975,474,1699,3.6,13,0,0.0,14.4,19,0,0,888,,,0,0,10,4,0,0.7142857142857143
Browns,361,202,56.0,8.0,2591,25,10,93.6,0,0.0,34,1975,544,2032,3.7,21,0,0.0,14.3,25,0,0,939,,,0,0,3,11,0,0.21428571428571427
Bengals,389,175,45.0,5.1,1729,11,22,46.9,0,0.0,27,1975,473,2194,4.6,15,0,0.0,11.4,11,0,0,889,,,0,0,11,3,0,0.7857142857142857
Bears,399,208,52.1,7.1,2506,22,13,79.8,0,0.0,35,1975,547,2070,3.8,25,0,0.0,13.6,22,0,0,981,,,0,0,4,10,0,0.2857142857142857
Bills,431,237,55.0,7.8,3080,25,25,75.5,0,0.0,30,1975,480,1993,4.2,21,0,0.0,14.2,25,0,0,941,,,0,0,8,6,0,0.5714285714285714
Falcons,437,227,51.9,6.4,2535,16,25,60.5,0,0.0,35,1975,571,2277,4.0,13,0,0.0,12.4,16,0,0,1043,,,0,0,4,10,0,0.2857142857142857
Redskins,354,146,41.2,6.3,1917,11,26,42.6,0,0.0,44,1976,555,2205,4.0,12,0,0.0,15.3,11,0,0,953,,,0,0,10,4,0,0.7142857142857143
Buccaneers,321,178,55.5,7.5,2241,19,9,87.6,0,0.0,24,1976,588,2560,4.4,23,0,0.0,13.6,19,0,0,933,,,0,0,0,14,0,0.0
Seahawks,367,223,60.8,7.5,2524,27,15,91.7,0,0.0,27,1976,614,2876,4.7,20,0,0.0,12.4,27,0,0,1008,,,0,0,2,12,0,0.14285714285714285
49ers,374,180,48.1,6.3,1776,13,9,69.9,0,0.0,61,1976,487,1786,3.7,10,0,0.0,13.1,13,0,0,922,,,0,0,8,6,0,0.5714285714285714
Chargers,386,219,56.7,7.3,2628,21,20,76.4,0,0.0,23,1976,516,2048,4.0,10,0,0.0,12.9,21,0,0,925,,,0,0,6,8,0,0.42857142857142855
Steelers,373,158,42.4,5.8,1866,9,22,45.2,0,0.0,41,1976,452,1457,3.2,5,0,0.0,13.8,9,0,0,866,,,0,0,10,4,0,0.7142857142857143
Cardinals,342,176,51.5,6.9,2110,13,19,63.2,0,0.0,31,1976,491,1979,4.0,19,0,0.0,13.4,13,0,0,864,,,0,0,10,4,0,0.7142857142857143
Eagles,404,237,58.7,6.7,2550,17,9,83.4,0,0.0,19,1976,532,2053,3.9,16,0,0.0,11.3,17,0,0,955,,,0,0,4,10,0,0.2857142857142857
Jets,374,204,54.5,6.6,2324,25,11,85.1,0,0.0,16,1976,582,2592,4.5,14,0,0.0,12.1,25,0,0,972,,,0,0,3,11,0,0.21428571428571427
Giants,330,189,57.3,6.8,1988,11,12,73.9,0,0.0,31,1976,560,2203,3.9,14,0,0.0,11.8,11,0,0,921,,,0,0,3,11,0,0.21428571428571427
Saints,367,200,54.5,6.9,2202,18,12,78.8,0,0.0,39,1976,554,2289,4.1,22,0,0.0,12.6,18,0,0,960,,,0,0,4,10,0,0.2857142857142857
Patriots,437,229,52.4,6.0,2175,16,23,60.9,0,0.0,47,1976,462,1847,4.0,12,0,0.0,11.4,16,0,0,946,,,0,0,11,3,0,0.7857142857142857
Vikings,323,158,48.9,5.9,1575,8,19,51.1,0,0.0,45,1976,487,2096,4.3,14,0,0.0,12.0,8,0,0,855,,,0,0,11,2,1,0.8214285714285714
Dolphins,347,195,56.2,8.3,2670,20,11,89.3,0,0.0,20,1976,525,2411,4.6,14,0,0.0,14.7,20,0,0,892,,,0,0,6,8,0,0.42857142857142855
Raiders,389,197,50.6,7.3,2476,13,16,68.8,0,0.0,46,1976,478,1903,4.0,17,0,0.0,14.4,13,0,0,913,,,0,0,13,1,0,0.9285714285714286
Rams,397,199,50.1,6.3,2092,11,32,45.6,0,0.0,45,1976,429,1564,3.6,11,0,0.0,12.5,11,0,0,871,,,0,0,10,3,1,0.75
Chiefs,375,215,57.3,7.2,2496,25,23,76.4,0,0.0,22,1976,555,2861,5.2,24,0,0.0,12.5,25,0,0,952,,,0,0,5,9,0,0.35714285714285715
Colts,372,192,51.6,7.5,2343,16,15,74.0,0,0.0,56,1976,438,1844,4.2,11,0,0.0,14.6,16,0,0,866,,,0,0,11,3,0,0.7857142857142857
Oilers,345,173,50.1,6.5,1915,17,11,74.3,0,0.0,50,1976,540,2072,3.8,13,0,0.0,13.1,17,0,0,935,,,0,0,5,9,0,0.35714285714285715
Packers,354,196,55.4,6.2,1835,13,11,73.3,0,0.0,43,1976,546,2288,4.2,17,0,0.0,11.2,13,0,0,943,,,0,0,5,9,0,0.35714285714285715
Lions,313,137,43.8,6.1,1686,11,24,43.7,0,0.0,28,1976,496,1901,3.8,13,0,0.0,13.9,11,0,0,837,,,0,0,6,8,0,0.42857142857142855
Broncos,391,214,54.7,5.8,2025,8,24,53.1,0,0.0,32,1976,496,1709,3.4,14,0,0.0,10.6,8,0,0,919,,,0,0,9,5,0,0.6428571428571429
Cowboys,391,187,47.8,5.7,1909,12,16,58.9,0,0.0,44,1976,484,1821,3.8,12,0,0.0,12.0,12,0,0,919,,,0,0,11,3,0,0.7857142857142857
Browns,392,225,57.4,6.0,2032,18,21,67.9,0,0.0,32,1976,445,1761,4.0,15,0,0.0,10.5,18,0,0,869,,,0,0,9,5,0,0.6428571428571429
Bengals,364,177,48.6,6.0,1758,13,26,50.0,0,0.0,46,1976,520,1912,3.7,11,0,0.0,12.4,13,0,0,930,,,0,0,10,4,0,0.7142857142857143
Bears,401,200,49.9,6.5,2217,15,24,58.3,0,0.0,49,1976,522,1984,3.8,10,0,0.0,13.1,15,0,0,972,,,0,0,7,7,0,0.5
